title,author,pub_year,venue,abstract
Regression analysis of natural selection: statistical inference and biological interpretation,"['T Mitchell‐Olds', 'RG Shaw']",1987,Evolution,Recent theoretical work in quantitative genetics has fueled interest in measuring natural selection in the wild. We discuss statistical and biological issues that may arise in applications of Lande and Arnold's (1983) multiple‐regression approach to measuring
Evaluation of the rate of evolution in natural populations of guppies (Poecilia reticulata),"['DN Reznick', 'FH Shaw', 'FH Rodd', 'RG Shaw']",1997,Science,Natural populations of guppies were subjected to an episode of directional selection that mimicked natural processes. The resulting rate of evolution of age and size at maturity was similar to rates typically obtained for traits subjected to artificial selection in laboratory
Of dreaming and wakefulness,"['RR Llinás', 'D Paré']",1991,Neuroscience,"Following a set of studies concerning the intrinsic electrophysiology of mammalian central neurons in relation to global brain function, we reach the following conclusions:(i) the main difference between wakefulness and paradoxical sleep lies in the weight given to sensory"
Heterochrony,"['ML McKinney', 'KJ McNamara']",1991,Heterochrony,In 1859 Charles Darwin published The Origin of Species by Means of Natural Selection. No single book before or since has had such a profound effect on evolutionary theory. To most present-day biologists it is seen as the bright light that burst upon the Dark
"Phenotypic, genetic, and environmental morphological integration in the cranium",['JM Cheverud'],1982,Evolution,"The hypotheses that developmentally and functionally related cranial traits are relatively tightly morphologically integrated in the phenotype, genotype, and with respect to environmental factors were tested. Sets of developmentally and functionally related traits, F"
Life history variation in primates,"['PH Harvey', 'TH Clutton‐Brock']",1985,Evolution,"Extensive variation in life‐history patterns is documented across primate species. Variables included are gestation length, neonatal weight, litter size, age at weaning, age at sexual maturity, age at first breeding, longevity, and length of the estrous cycle. Species within"
A comparison of genetic and phenotypic correlations,['JM Cheverud'],1988,Evolution,"Genetic variances and correlations lie at the center of quantitative evolutionary theory. They are often difficult to estimate, however, due to the large samples of related individuals that are required. I investigated the relationship of genetic‐and phenotypic‐correlation"
The evolution of costly mate preferences II. The “handicap” principle,"['Y Iwasa', 'A Pomiankowski', 'S Nee']",1991,Evolution,We use a general additive quantitative genetic model to study the evolution of costly female mate choice by the “handicap” principle. Two necessary conditions must be satisfied for costly preference to evolve. The conditions are (i) biased mutation pressure on viability and
Constraint to adaptive evolution in response to global warming,"['JR Etterson', 'RG Shaw']",2001,science,"We characterized the genetic architecture of three populations of a native North American prairie plant in field conditions that simulate the warmer and more arid climates predicted by global climate models. Despite genetic variance for traits under selection, among-trait"
Phylogenies and quantitative characters,['J Felsenstein'],1988,Annual Review of Ecology and Systematics,"Systematists and evolutionary geneticists don't often talk to each other, and they routinely disparage each other's work as being of little relevance to evolution. Systematists sometimes invoke the punctuationist argument that most evolutionary change does not occur by"
Population structure in Daphnia obtusa: quantitative genetic and allozymic variation.,['K Spitze'],1993,Genetics,Quantitative genetic analyses for body size and for life history characters within and among populations of Daphnia obtusa reveal substantial genetic variance at both hierarchical levels for all traits measured. Simultaneous allozymic analysis on the same population
The evolution of maternal characters,"['M Kirkpatrick', 'R Lande']",1989,Evolution,"We develop quantitative‐genetic models for the evolution of multiple traits under maternal inheritance, in which traits are transmitted through non‐Mendelian as well as Mendelian mechanisms, and maternal selection, in which the fitness of offspring depends on their"
"Homologues, natural kinds and the evolution of modularity",['GP Wagner'],1996,American Zoologist,The fact that phenotypic evolution can be studied on a character by character basis suggests that the body is composed of locally integrated units. These units can be considered as modular parts of the body which integrate functionally related characters into units of
The control of neuron number,"['RW Williams', 'K Herrup']",1988,Annual review of neuroscience,"How an animal senses, perceives, and acts depends on the organization and number of elements that make up its nervous system. Of several kinds of neural elements, ranging in size from ion channels to cytoarchitectonic divisions, the neuron is the fundamental building"
Natural selection and animal personality,"['NJ Dingemanse', 'D Réale']",2005,Behaviour,"Recent progress has been made on the study of personality in animals, both from a mechanistic and a functional perspective. While we start knowing more about the proximal mechanisms responsible for the consistent differences in behaviour between individuals in a"
Adaptation to an extraordinary environment by evolution of phenotypic plasticity and genetic assimilation,['R Lande'],2009,Journal of evolutionary biology,"Adaptation to a sudden extreme change in environment, beyond the usual range of background environmental fluctuations, is analysed using a quantitative genetic model of phenotypic plasticity. Generations are discrete, with time lag τ between a critical period for"
On the measurement of natural and sexual selection: applications,"['SJ Arnold', 'MJ Wade']",1984,Evolution,The study of selection in natural populations is a neglected field. So far only a few investigators have succeeded in measuring lifetime fitness or selection on multiple phenotypic characters. Studies of multiple selection episodes are also rare. Most traits of
The statistics of natural selection on animal populations,['BF Manly'],2013,NA,"In the concluding chapter of his famous book on the theory of evolution by natural selection, Charles Darwin (1859) remarked that: When the views entertained in this volume on the origin of species, or when analogous views are generally admitted, we can dimly foresee"
Constraints on phenotypic evolution,['SJ Arnold'],1992,The American Naturalist,"Constraints on phenotypic evolution can take a variety of forms. Constraints can arise from inheritance, selection, development, and design limits. Contemporary visions of the evolutionary process often focus on one or two of these varieties and ignore the others. A"
Estimating the form of natural selection on a quantitative trait,['D Schluter'],1988,Evolution,The fitness function f relates fitness of individuals to the quantitative trait under natural selection. The function is useful in predicting fitness differences among individuals and in revealing whether an optimum is present within the range of phenotypes in the population. It
"Size, temperature, and fitness: three rules","['JG Kingsolver', 'RB Huey']",2008,Evolutionary Ecology Research,"Question: Associations of body size and of body temperature with fitness have complex relationships for ectotherms, but three general patterns are known. Bigger is better: Larger body size is frequently associated with greater fitness within populations. Hotter is smaller"
Genomics and the origin of species,"['O Seehausen', 'RK Butlin', 'I Keller', 'CE Wagner']",2014,Nature Reviews …,"Speciation is a fundamental evolutionary process, the knowledge of which is crucial for understanding the origins of biodiversity. Genomic approaches are an increasingly important aspect of this research field. We review current understanding of genome-wide"
Variation in sexual reproduction in orchids and its evolutionary consequences: a spasmodic journey to diversification,"['RL Tremblay', 'JD Ackerman']",2005,Biological Journal of …,"The great taxonomic diversity of the Orchidaceae is often attributed to adaptive radiation for specific pollinators driven by selection for outcrossing. However, when one looks beyond the product to the process, the evidence for selection is less than overwhelming. We explore this"
Quantitative genetics and developmental constraints on evolution by selection,['JM Cheverud'],1984,Journal of theoretical biology,"It has often been argued that the principles of random mutation and selection are insufficient to account for macroevolutionary phenomena, such as the origin of morphological novelty and directionality in evolution. A third, epigenetic, principle is said to be required and this"
"Primates, brains and ecology","['TH Clutton‐Brock', 'PH Harvey']",1980,Journal of zoology,The paper examines systematic relationships among primates between brain size (relative to body size) and differences in ecology and social system. Marked differences in relative brain size exist between families. These are correlated with inter‐family differences in body
Developmental integration and the evolution of pleiotropy,['JM Cheverud'],1996,American Zoologist,"The different forms of morphological integration, developmental, functional, genetic, and evolutionary are defined and their theoretical relationships explored. Quantitative genetic models predict that the co-selection of traits involved in a common function will lead to"
Morphological integration and developmental modularity,['CP Klingenberg'],2008,"Annual review of ecology, evolution, and …","Biological systems, from molecular complexes to whole organisms and ecological interactions, tend to have a modular organization. Modules are sets of traits that are internally integrated by interactions among traits, but are relatively independent from other"
Evolutionary ecology and human behavior,['EA Smith'],2017,NA,"First published 1992 by Transaction Publishers Published 2017 by Routledge 2 Park  Square, Milton Park, Abingdon, Oxon OX14 4RN 711 Third Avenue, New York, NY 10017, USA  Routledge is an imprint of the Taylor & Francis Group, an informa business Copyright© 1992"
A neo-Darwinian commentary on macroevolution,"['B Charlesworth', 'R Lande', 'M Slatkin']",1982,Evolution,"The neo-Darwinian synthesis that resulted from the integration of Mendelian genetics into evolutionary theory has dominated evolutionary biology for the last 30 to 40 years, due largely to its agreement with a huge body of experimental and observational data. The"
A model for development and evolution of complex morphological structures,"['WR Atchley', 'BK Hall']",1991,Biological Reviews,"Page 1. Biol. Rev. (1991). 66, pp. 101-157 Printed in Great Britain I01 A MODEL FOR DEVELOPMENT AND EVOLUTION OF COMPLEX MORPHOLOGICAL STRUCTURES BY WILLIAM R. ATCHLEY Department of Genetics, North Carolina State University, Raleigh"
Ecological explanations for (incomplete) speciation,"['P Nosil', 'LJ Harmon', 'O Seehausen']",2009,Trends in ecology & evolution,"Divergent natural selection has been shown to promote speciation in many taxa. However, although divergent selection often initiates the process of speciation, it often fails to complete it. Several time-based, geographic and genetic factors have been recognized to explain this"
Interacting phenotypes and the evolutionary process: I. Direct and indirect genetic effects of social interactions,"['AJ Moore', 'ED Brodie III', 'JB Wolf']",1997,Evolution,"Interacting phenotypes are traits whose expression is affected by interactions with conspecifics. Commonly‐studied interacting phenotypes include aggression, courtship, and communication. More extreme examples of interacting phenotypes—traits that exist"
Adaptation and the goals of evolutionary research,"['HK Reeve', 'PW Sherman']",1993,The Quarterly Review of Biology,"Adaptation is and has always been a sloppery concept. Even among contemporary evolutionary biologists there is no consensus about how to identify adaptive traits. Most definition of adaptation incorporate elements of history. Among these, some require that"
Testing for different rates of continuous trait evolution using likelihood,"[""BC O'Meara"", 'C Ané', 'MJ Sanderson', 'PC Wainwright']",2006,Evolution,"Rates of phenotypic evolution have changed throughout the history of life, producing variation in levels of morphological, functional, and ecological diversity among groups. Testing for the presence of these rate shifts is a key component of evaluating hypotheses"
Behavioural syndromes differ predictably between 12 populations of three‐spined stickleback,"['NJ Dingemanse', 'J Wright', 'AJN Kazem']",2007,Journal of Animal …,"Animals often differ in suites of correlated behaviours, comparable with how humans differ in personality. Constraints on the architecture of behaviour have been invoked to explain why such 'behavioural syndromes' exist. From an adaptationist viewpoint, however, behavioural"
Evolution of generalists and specialists in spatially heterogeneous environments,['PH Van Tienderen'],1991,Evolution,Quantitative genetic models are used to investigate the evolution of generalists and specialists in a coarse‐grained environment with two habitat types when there are costs attached to being a generalist. The outcomes for soft and hard selection models are
The measurement of selection on quantitative traits: biases due to environmental covariances between traits and fitness,['MD Rausher'],1992,Evolution,The use of regression techniques for estimating the direction and magnitude of selection from measurements on phenotypes has become widespread in field studies. A potential problem with these techniques is that environmental correlations between fitness and the
Use and misuse of the reduced major axis for line‐fitting,['RJ Smith'],2009,American Journal of Physical Anthropology: The …,Many investigators use the reduced major axis (RMA) instead of ordinary least squares (OLS) to define a line of best fit for a bivariate relationship when the variable represented on the X‐axis is measured with error. OLS frequently is described as requiring the assumption
Genetic covariance of fitness correlates: what genetic correlations are made of and why it matters,['D Houle'],1991,Evolution,"The genetic variance‐covariance matrix, G, is determined in part by functional architecture, the pathways by which variation in genotype influences phenotype. I develop a simple architectural model for G for two traits under directional selection constrained by their"
Developmental structure in brain evolution,"['BL Finlay', 'RB Darlington', 'N Nicastro']",2001,Behavioral and Brain …,How does evolution grow bigger brains? It has been widely assumed that growth of individual structures and functional systems in response to niche-specific cognitive challenges is the most plausible mechanism for brain expansion in mammals. Comparison
Adaptation: statistics and a null model for estimating phylogenetic effects,"['JL Gittleman', 'M Kot']",1990,Systematic Zoology,Tests of adaptive explanations are often critically confounded by phylogenetic heritage. In this paper we propose statistics and a null model for estimating phylogenetic effects in comparative data. We apply a model-independent measure of autocorrelation (Moran's I) for
Genetic linkage of ecological specialization and reproductive isolation in pea aphids,"['DJ Hawthorne', 'S Via']",2001,Nature,"The evolution of ecological specialization generates biological diversity and may lead to speciation 1, 2, 3. Genetic architecture can either speed or retard this process. If resource use and mate choice have a common genetic basis through pleiotropy or close linkage, the"
Visualizing multivariate selection,"['PC Phillips', 'SJ Arnold']",1989,Evolution,Recent developments in quantitative‐genetic theory have shown that natural selection can be viewed as the multivariate relationship between fitness and phenotype. This relationship can be described by a multidimensional surface depicting fitness as a function of phenotypic
A reassessment of genetic limits to evolutionary change,"['MW Blows', 'AA Hoffmann']",2005,Ecology,"An absence of genetic variance in traits under selection is perhaps the oldest explanation for a limit to evolutionary change, but has also been the most easily dismissed. We review a range of theoretical and empirical results covering single traits to more complex multivariate"
Using genotype-by-environment interaction for crop cultivar development,['MS Kang'],1997,Advances in agronomy,"Publisher Summary The chapter discusses the use of genotype-by-environment interaction for crop cultivar development. The chapter begins with definitions of genotype, environment, and phenotype, and discusses the influence of environment on heredity that may result in"
"Overall brain size, and not encephalization quotient, best predicts cognitive ability across non-human primates","['RO Deaner', 'K Isler', 'J Burkart']",2007,"Brain, behavior and …","For over a century, various neuroanatomical measures have been employed as assays of cognitive ability in comparative studies. Nevertheless, it is still unclear whether these measures actually correspond to cognitive ability. A recent meta-analysis of cognitive"
Experimental evidence that competition promotes divergence in adaptive radiation,['D Schluter'],1994,Science,Interspecific competition driving divergence in adaptive radiation has not previously been tested experimentally. Natural selection on a morphologically variable species of stickleback fish was contrasted in the presence and absence of a close relative. Selection was
The adaptive landscape as a conceptual bridge between micro-and macroevolution,"['SJ Arnold', 'ME Pfrender', 'AG Jones']",2001,"Microevolution rate, pattern, process","An adaptive landscape concept outlined by GG Simpson constitutes the major conceptual bridge between the fields of micro-and macroevolutionary study. Despite some important theoretical extensions since 1944, this conceptual bridge has been ignored in many"
Molecular spandrels: tests of adaptation at the genetic level,"['RDH Barrett', 'HE Hoekstra']",2011,Nature Reviews Genetics,"Although much progress has been made in identifying the genes (and, in rare cases, mutations) that contribute to phenotypic variation, less is known about the effects that these genes have on fitness. Nonetheless, genes are commonly labelled as' adaptive'if an allele"
Translating between microevolutionary process and macroevolutionary patterns: the correlation structure of interspecific data,"['TF Hansen', 'EP Martins']",1996,Evolution,"As species evolve along a phylogenetic tree, we expect closely related species to retain some phenotypic similarities due to their shared evolutionary histories. The amount of expected similarity depends both on the hierarchical phylogenetic structure, and on the"
Evolutionary physiology,"['T Garland Jr', 'PA Carter']",1994,Annual review of physiology,""" The objectives of comparative physiology are:(1) to describe the diverse ways in which different kinds of animals meet their functional requirements;(2) to elucidate evolutionary relationships of animals by comparing physiological and biochemical characteristics;(3) to"
Unifying and testing models of sexual selection,"['H Kokko', 'MD Jennions', 'R Brooks']",2006,Annu. Rev. Ecol. Evol. Syst.,Sexual reproduction is associated with the evolution of anisogamy and sperm-producing males and egg-laying females. The ensuing competition for mates has led to sexual selection and coevolution of the sexes. Mathematical models are extensively used to test the
Comparative quantitative genetics: evolution of the G matrix,"['SJ Steppan', 'PC Phillips', 'D Houle']",2002,Trends in Ecology & Evolution,"Quantitative genetics provides one of the most promising frameworks with which to unify the fields of macroevolution and microevolution. The genetic variance–covariance matrix (G) is crucial to quantitative genetic predictions about macroevolution. In spite of years of study, we"
Measuring and comparing evolvability and constraint in multivariate characters,"['TF Hansen', 'D Houle']",2008,Journal of evolutionary biology,The Lande equation forms the basis for our understanding of the short‐term evolution of quantitative traits in a multivariate context. It predicts the response to selection as the product of an additive genetic variance matrix and a selection gradient. The selection gradient
The quantitative genetics of polyphagy in an insect herbivore. II. Genetic correlations in larval performance within and among host plants,['S Via'],1984,Evolution,"Genetic correlations among characters under simultaneous selection can alter the course of phenotypic evolution. Because a character expressed in two environments can be treated as two genetically correlated characters, the potential for evolutionary constraint by variation in"
CORRELATIONAL SELECTION FOR COLOR PATTERN AND ANTIPREDATOR BEHAVIOR IN THE GARTER SNAKE THAMNOPHIS ORDINOIDES,['ED Brodie III'],1992,Evolution,"Correlational selection favors combinations of traits and is a key element of many models of phenotypic and genetic evolution. Multiple regression techniques for measuring selection allow for the direct estimation of correlational selection gradients, yet few studies in natural"
Quantitative genetics and the evolution of reaction norms,"['R Gomulkiewicz', 'M Kirkpatrick']",1992,Evolution,We extend methods of quantitative genetics to studies of the evolution of reaction norms defined over continuous environments. Our models consider both spatial variation (hard and soft selection) and temporal variation (within a generation and between generations). These
Evolutionary ecology across three trophic levels,"['WG Abrahamson', 'AE Weis']",2020,NA,"In a work that will interest researchers in ecology, genetics, botany, entomology, and parasitology, Warren Abrahamson and Arthur Weis present the results of more than twenty-five years of studying plant-insect interactions. Their study centers on the ecology and"
Predicting microevolutionary responses to directional selection on heritable variation,"['PR Grant', 'BR Grant']",1995,Evolution,"Microevolution of quantitative traits in the wild can be predicted from a knowledge of selection and genetic parameters. Testing the predictions requires measurement of the offspring of the selected group, a requirement that is difficult to meet. We present the results"
Abundant genetic variation+ strong selection= multivariate genetic constraints: a geometric view of adaptation,"['B Walsh', 'MW Blows']",2009,"Annual Review of Ecology, Evolution, and …",Evolutionary biology has struggled to explain the coexistence of two basic observations: Genetic variation is found in almost all traits in the presence of strong natural and sexual selection in natural populations. These two observations are in direct conflict as such
Recent developments in the analysis of comparative data,"['MD Pagel', 'PH Harvey']",1988,The Quarterly Review of Biology,Comparative methods can be used to test ideas about adaptation by identifying cases of either parallel or convergent evolutionary change across taxa. Phylogenetic relationhips must be known or inferred if comparative methods are to separate the cross-taxonomic
The development and evolution of exaggerated morphologies in insects,"['DJ Emlen', 'HF Nijhout']",2000,Annual review of entomology,"▪ Abstract We discuss a framework for studying the evolution of morphology in insects, based on the concepts of “phenotypic plasticity” and “reaction norms.” We illustrate this approach with the evolution of some of the most extreme morphologies in insects: exaggerated"
On the low heritability of life‐history traits,"['T Price', 'D Schluter']",1991,Evolution,Life‐history traits such as longevity and fecundity often show low heritability. This is usually interpreted in terms of Fisher's fundamental theorem to mean that populations are near evolutionary equilibrium and genetic variance in total fitness is low. We develop the causal
Environmental quality and evolutionary potential: lessons from wild populations,"['A Charmantier', 'D Garant']",2005,Proceedings of the Royal …,An essential requirement to determine a population's potential for evolutionary change is to quantify the amount of genetic variability expressed for traits under selection. Early investigations in laboratory conditions showed that the magnitude of the genetic and
Ecological morphology of lacustrine threespine stickleback Gasterosteus aculeatus L. (Gasterosteidae) body shape,['JA Walker'],1997,Biological Journal of the Linnean Society,"Threespine sticklebacks, small fish with a circumglobal distribution in coastal marine and freshwater of the northern hemisphere, present a remarkable scope of variation in body and fin shape among populations. The repeated evolution of divergent body shapes in a"
"A quantitative genetic model for growth, shape, reaction norms, and other infinite-dimensional characters","['M Kirkpatrick', 'N Heckman']",1989,Journal of mathematical biology,"Infinite-dimensional characters are those in which the phenotype of an individual is described by a function, rather than by a finite set of measurements. Examples include growth trajectories, morphological shapes, and norms of reaction. Methods are presented"
A new view of life-history evolution,['SC Stearns'],1980,Oikos,"In this paper I question the existence of life-history tactics as traditionally defined at the intraspecific level. Then I comment on some of the recent criticisms of optimality theory, and suggest why optimization may work under certain circumstances. While working through"
A structured and dynamic framework to advance traits‐based theory and prediction in ecology,"['CT Webb', 'JA Hoeting', 'GM Ames', 'MI Pyne']",2010,Ecology …,"Ecology Letters (2010) 13: 267–283 Abstract Predicting changes in community composition and ecosystem function in a rapidly changing world is a major research challenge in ecology. Traits‐based approaches have elicited much recent interest, yet individual studies"
Strength and tempo of directional selection in the wild,"['HE Hoekstra', 'JM Hoekstra', 'D Berrigan']",2001,Proceedings of the …,"Directional selection is a major force driving adaptation and evolutionary change. However, the distribution, strength, and tempo of phenotypic selection acting on quantitative traits in natural populations remain unclear across different study systems. We reviewed the"
Estimating nonlinear selection gradients using quadratic regression coefficients: double or nothing?,"['JR Stinchcombe', 'AF Agrawal']",2008,… Journal of Organic …,"The use of regression analysis has been instrumental in allowing evolutionary biologists to estimate the strength and mode of natural selection. Although directional and correlational selection gradients are equal to their corresponding regression coefficients, quadratic"
Adaptive Speciation: Introduction,"['U Dieckmann', 'JAJ Metz', 'M Doebeli', 'D Tautz']",2004,NA,"We are indebted to Agusti Galiana for drawing our attention to the quote by Mayr (1982, p. 565) and to Menno Schilthuizen for highlighting the relation between adaptive speciation and the quote by Darwin (1859, p. 155). Franjo Weissing and Sander van Doorn provided"
"A comparison of phenotypic variation and covariation patterns and the role of phylogeny, ecology, and ontogeny during cranial evolution of New World monkeys","['G Marroig', 'JM Cheverud']",2001,Evolution,Similarity of genetic and phenotypic variation patterns among populations is important for making quantitative inferences about past evolutionary forces acting to differentiate populations and for evaluating the evolution of relationships among traits in response to new
The origin of Neandertals,['JJ Hublin'],2009,Proceedings of the National Academy of …,"Western Eurasia yielded a rich Middle (MP) and Late Pleistocene (LP) fossil record documenting the evolution of the Neandertals that can be analyzed in light of recently acquired paleogenetical data, an abundance of archeological evidence, and a well-known"
Santa Rosalia reconsidered: size ratios and competition,"['D Simberloff', 'W Boecklen']",1981,Evolution,Hutchinson's (1959) claim that there is a minimum size ratio between adjacent species in a size-ranking and the related contention that size ratios tend to be constant between adjacent species pairs in a suite of three or more species have often been repeated and interpreted
Evolution of Darwin's finches caused by a rare climatic event,"['BR Grant', 'PR Grant']",1993,Proceedings of the Royal Society of …,Populations of animals and plants often undergo conspicuous ecological changes when subjected to climatic extremes. Evolutionary changes may accompany them but are less easily detected. We show that Darwin's finches on a Galapagos island underwent two
Evolutionary and plastic responses to climate change in terrestrial plant populations,"['SJ Franks', 'JJ Weber', 'SN Aitken']",2014,Evolutionary applications,"As climate change progresses, we are observing widespread changes in phenotypes in many plant populations. Whether these phenotypic changes are directly caused by climate change, and whether they result from phenotypic plasticity or evolution, are active areas of"
