title,author,pub_year,venue,abstract
The population viability assessment workshop: A tool for threatened species management,"['TW Clark', 'GN Backhouse']",2002,… Approach to Endangered …,"Population viability assessment (PVA) is a powerful tool in assessing the viability (ie likely persistence) of small populations, and in setting target numbers and area requirements for species recovery. By using computer models, four types of extinction processes can be"
Stochastic theory of population genetics and evolution,['M Nei'],1980,Vito Volterra Symposium on Mathematical Models in …,"The stochastic theory in population genetics has a long history. In his 1922 paper Fisher first studied the effect of genetic drift on the genetic variability of a random mating population, introducing a new concept of stochastic change of gene frequencies. He reached the"
Laboratory training manual on the use of nuclear techniques in animal research,['International Atomic Energy Agency'],NA,NA,
Polygenic Mutation in Drosophila melanogaster Mapping Spontaneous Mutations Affecting Sensory Bristle Number,"['TFC Mackay', 'RF Lyman', 'F Lawrence']",2005,Genetics,"Our ability to predict long-term responses to artificial and natural selection, and understand the mechanisms by which naturally occurring variation for quantitative traits is maintained, depends on detailed knowledge of the properties of spontaneous polygenic mutations"
Effects of mutation on selection limits in finite populations with multiple alleles.,"['ZB Zeng', 'H Tachida', 'CC Cockerham']",1989,Genetics,"The ultimate response to directional selection (ie, the selection limit) under recurrent mutation is analyzed by a diffusion approximation for a population in which there are k possible alleles at a locus. The limit mainly depends on two scaled parameters S (= 4Ns"
Polygenic mutation in Drosophila melanogaster: genotype× environment interaction for spontaneous mutations affecting bristle number,"['TFC Mackay', 'RF Lyman']",1998,Genetica,"A highly inbred line of Drosophila melanogaster was subdivided into replicate sublines that were subsequently maintained independently with 10 pairs of parents per generation. The parents were randomly sampled for 19 'unselected'sublines, and artificially selected for high"
Radiation-induced polygenic mutation in Arabidopsis thaliana I. Selection for flowering time,['CW Lawrence'],1968,Heredity,"1. INTRODUcTION ALTHOUGH it is well established that ionising radiations can induce mutations which affect quantitative characters (Scossiroli, 1954; Clayton and Robertson, 1955; Gregory, 1955), little is known about the nature, properties and rates of induction of"
THE EFFECTS OF X-RAY IRRADIATION ON SELECTION RESPONSE IN ôDROSOPHILA MELANOGASTER,['O KITAGAWA'],1967,The Japanese Journal of Genetics,"RESULTS Selection was carried out for twenty generations in all lots of both strains. The response to selection of the different selection lines is shown in Figures 1-5 (for the P strain), and 6-10 (for the C strain). In these figures, solid and broken lines are used to portray the"
: Genetic variation in grain-size of rice after irradiation. I. γ-irradiation,['H Yamaguchi'],1962,Japanese Journal of Breeding,"抄録 Dry seeds from a foundation stock of a rice variety Norin No. 29, were treated with two doses of gamma rays from 60 Co, that is 10, 000 r and 30, 000 r The frequencies of chlorophyll mutations in the X 2 progenies from ears having 25 or more seeds were greater"
Molecular methods for insect phylogenetics,['RH Crozier'],1993,Molecular Approaches to Fundamental and Applied …,A well-founded phylogenetic scheme enlightens biology by enabling the drawing of inferences about the evolution of the organisms concerned (Pagel and Harvey 1988). The best characters for evolutionary inference would themselves evolve in ways explicable by
Effects of X-rays on response to selection for a quantitative character of Drosophila melanogaster,['LP Jones'],1967,Genetics Research,"1. Lines with ten pairs of parents and selected at an intensity of 20% were exposed to 1000 r. of X-rays for 0, 2, 10 or 30 generations. Lines which received some irradiation generally gave greater response than the unirradiated controls. The phenotypic variance in the"
X-ray induced mutations in polygenic systems,"['AA Buzzati-Traverso', 'RE Scossiroli']",1959,NA,Polygenic systems controlling quantitative characters have been shown to undergo spontaneous as well as xray-induced mutation. A number of polygenic systems controlling physiological and morphological traits were analyzed in a series of experiments. The
Phylogenetic comparative methods,['LJ Harmon'],2019,NA,"Evolution is happening all around us. In many cases–lately, due to technological advances in molecular biology–scientists can now describe the evolutionary process in exquisite detail. For example, we know exactly which genes change in frequency from one generation"
Doubling dose for polygenic mutations in Drosophila melanogaster,"['Y YAMADA', 'O KITAGAWA']",1961,The Japanese Journal of Genetics,"Polygenic mutations obviously cannot be measured in terms of the kind of mutational occurrence which is familiar in older genetic studies, since individual genes of such a polygenic system cannot be identified and followed in an experiment. Furthermore, the"
P-element-induced mutation and quantitative variation in Drosophila melanogaster: lack of enhanced response to selection in lines derived from dysgenic crosses.,"['A Torkamanzehi', 'C Moran', 'FW Nicholas']",1988,Genetics Research,"Dysgenic and non-dysgenic base populations were made by reciprocal crossing of Harwich (P) and Canton-S (M) strains. From each cross, two up and two down selection lines were established, with selection on abdominal bristle number for ten generations. The intensity of"
Distribution of effects of new mutations affecting quantitative traits,['TFC Mackay'],1990,Proc. 4th world congress on genetics applied to …,"Departures from assumptions of additive, symmetrical, normal and nonpleiotropic distributions of effects of mutations affecting quantitative traits are discussed with respect to theoretical models predicting long-term response to directional selection, divergence"
Mutation and conflicts between artificial and natural selection for quantitative traits,"['WG Hill', 'SH Mbaga']",1998,Genetica,"There is substantial new variation for quantitative traits generated by mutation that can be utilised by artificial selection. With long-term selection, however, response is often attenuated and a selection limit sometimes reached, even though genetic variation is"
"Evaluation of effects of high natural background radiation on some genetic traits in the inhabitants of monazite belt in Kerala, India","['YR Ahuja', 'A Sharma', 'KUK Nampoothiri', 'MR Ahuja']",1973,Human biology,"With a view to assess the possible long-term effects of chronic low-level radiation on human quantitative characters, several dermatoglyphic parameters were studied among the inhabitants of monazite belt in Kerala, India. Previous investigators have estimated that"
Genetic differentiation of quantitative characters between populations or species II: optimal selection in infinite populations,"['P Narain', 'R Chakraborty']",1987,Heredity,"Using a new and more general genetic model called the discrete-allelic state model and assuming discrete-time process, the evolutionary changes of genetic variation of quantitative characters, controlled by a few loci, within and between populations during the process of"
Release of genetic variability through recombination. VI. Drosophila willistoni,['CB Krimbas'],1961,Genetics,"ZHANSKY et al. 1959) have dealt with D. pseudoobscura, persimilis and pro- saltans. The present  paper is concerned with D. willistoni. These four species can be divided into two categories.  D. pseudoobscura and willistoni are common, widespread, ecologically versatile species, respectively"
The genetic basis of natural variation. VI. Selection of a crossveinless strain of Drosophila by phenocopying at high temperature,['RD Milkman'],1965,Genetics,"ROGER D. MILKMAN Department of Zoology, Syracuse Uniuersity, Syracuse, New York Received  August 19, 1964 AS a class: crossveinless polygenes in Drosophila are common, numerous,  and  MATERIALS AND METHODS A stock was assembled from 34 lines of Syracuse flies"
Identification of superior animals and their use in improvement programmes,"['L Dempfle', 'E Grundl']",1988,Advances in animal breeding,"A discussion is given as to what exactly a superior animal is. Depending on the use it can mean an animal with a high average phenotypic expression, a high genotypic value or a high breeding value. Since in the foreseeable future one might not be able to replicate"
The effects of larval competition on a quantitative character in Drosophila melanogaster,['JGC Spiers'],1974,NA,
Papers on animal population genetics.,['EB Spiess'],1962,Papers on animal population genetics.,"This is a collection of 36 papers reprinted from the original journals. The object of the collection, as explained in the foreword, is to provide students students Subject Category: People Groups see more details of advanced courses in genetics with a first-hand"
The relative homozygosity of inbred lines and closed colonies,['ME Wallace'],1965,Journal of theoretical biology,"Current theory on the approach to homozygosity on inbreeding is outlined, including the concept of the coefficient of inbreeding and the expected effects of mutation and overdominance. Evidence supporting current theory is reviewed briefly. It shows that long"
Mapping and characterization of P-element-induced mutations at quantitative trait loci in Drosophila melanogaster,"['C Lai', 'TFC Mackay']",1993,Genetics Research,"X chromosomes derived from crosses of inbred P and M Drosophila melanogaster strains that had extreme effects on abdominal and/or sternopleural bristle number in males, were further analyzed to determine their effects in females and to map the loci at which the"
Genetic effects of X rays on quantitative characters in a heterogeneous population of Drosophila melanogaster,"['I Tobari', 'M Nei']",1965,Genetics,"MATERIALS AND METHODS The base population: The base population employed in this investigation was originally made up of 20 males and 20 females taken from each of 24 different laboratory stocks, which were, in turn, sampled from natural populations. Before"
Population consequences of mutagenesis and antimutagenesis,['JF Crow'],1986,Antimutagenesis and Anticarcinogenesis Mechanisms,"Although the progress in basic understanding of mutagenesis and in techniques for precise measurement of mutation rates in test systems has been enormous, there has been very little progress in applying this information to estimates of germline mutation in humans, and"
