title,author,pub_year,venue,abstract
Population genetics,['MB Hamilton'],2021,NA,"Now updated for its second edition, Population Genetics is the classic, accessible introduction to the concepts of population genetics. Combining traditional conceptual approaches with classical hypotheses and debates, the book equips students to understand"
Methods for the analysis of comparative data in evolutionary biology,['M Lynch'],1991,Evolution,"Inferences regarding phylogenetic patterns and constraints on the evolution of characters often can be derived only from comparisons of extant species. If the phylogeny of these species is known, then the mean phenotypes of taxa can be partitioned into heritable"
Evolution of gene expression in the Drosophila melanogaster subgroup,"['SA Rifkin', 'J Kim', 'KP White']",2003,Nature genetics,"Little is known about broad patterns of variation and evolution of gene expression during any developmental process. Here we investigate variation in genome-wide gene expression among Drosophila simulans, Drosophila yakuba and four strains of Drosophila"
Independently evolving species in asexual bdelloid rotifers,"['D Fontaneto', 'EA Herniou', 'C Boschetti', 'M Caprioli']",2007,PLoS …,"Asexuals are an important test case for theories of why species exist. If asexual clades displayed the same pattern of discrete variation as sexual clades, this would challenge the traditional view that sex is necessary for diversification into species. However, critical"
A neutral model of transcriptome evolution,"['P Khaitovich', 'G Weiss', 'M Lachmann', 'I Hellmann']",2004,PLoS …,"Microarray technologies allow the identification of large numbers of expression differences within and between species. Although environmental and physiological stimuli are clearly responsible for changes in the expression levels of many genes, it is not known whether the"
Comparative studies of gene expression and the evolution of gene regulation,"['IG Romero', 'I Ruvinsky', 'Y Gilad']",2012,Nature Reviews Genetics,"The hypothesis that differences in gene regulation have an important role in speciation and adaptation is more than 40 years old. With the advent of new sequencing technologies, we are able to characterize and study gene expression levels and associated regulatory"
Is self‐fertilization an evolutionary dead end? Revisiting an old hypothesis with genetic theories and a macroevolutionary approach,"['N Takebayashi', 'PL Morrell']",2001,American Journal of Botany,G. Ledyard Stebbins suggested that self‐fertilization (selfing) may be an evolutionary dead end because it may result in the loss of genetic diversity and consequently preclude adaptation to changing environments. While the basic premise of selfing as a dead end is
"Craniometric variation, genetic theory, and modern human origins","['DJH Relethford', 'HC Harpending']",1994,American Journal of Physical …,"Recent controversies surrounding models of modern human origins have focused on among‐group variation, particularly the reconstruction of phylogenetic trees from mitochondrial DNA (mtDNA) and, the dating of population divergence. Problems in tree estimation have been"
Q ST–F ST comparisons: evolutionary and ecological insights from genomic heterogeneity,"['T Leinonen', 'RJS McCairns', ""RB O'hara""]",2013,Nature Reviews …,"Comparative studies of the divergence of quantitative traits and neutral molecular markers, known as Q ST–F ST comparisons, provide a means for researchers to distinguish between natural selection and genetic drift as causes of population differentiation in complex"
Evolution of primate gene expression,"['P Khaitovich', 'W Enard', 'M Lachmann']",2006,Nature Reviews …,"It has been suggested that evolutionary changes in gene expression account for most phenotypic differences between species, in particular between humans and apes. What general rules can be described governing expression evolution? We find that a neutral"
Spontaneous mutation accumulation studies in evolutionary genetics,"['DL Halligan', 'PD Keightley']",2009,Annual Review of Ecology …,"Mutation accumulation (MA) experiments, in which mutations are allowed to drift to fixation in inbred lines, have been a principal way of studying the rates and properties of new spontaneous mutations. Phenotypic assays of MA lines inform us about the nature of new"
Neutral theory of quantitative genetic variance in an island model with local extinction and colonization,['R Lande'],1992,Evolution,"Additive genetic variance maintained by mutation in a selectively neutral quantitative character is analyzed for an ideal population distributed on n islands, each with local effective size N, that exchange migrants at a small rate, m. In a stable population structure"
Rapid evolution of male-biased gene expression in Drosophila,"['CD Meiklejohn', 'J Parsch', 'JM Ranz']",2003,Proceedings of the …,A number of genes associated with sexual traits and reproduction evolve at the sequence level faster than the majority of genes coding for non-sex-related traits. Whole genome analyses allow this observation to be extended beyond the limited set of genes that have
Testing natural selection vs. genetic drift in phenotypic evolution using quantitative trait locus data,['HA Orr'],1998,Genetics,Evolutionary biologists have long sought a way to determine whether a phenotypic difference between two taxa was caused by natural selection or random genetic drift. Here I argue that data from quantitative trait locus (QTL) analyses can be used to test the null
House mice as models in systematic biology,"['RD Sage', 'WR Atchley', 'E Capanna']",1993,Systematic Biology,"We evaluated the house mouse (Mus musculus species complex) and its laboratory descendents as models for three aspects of systematic biology: hybrid zone biology, chromosomal evolution and speciation, and tests for methods of phylogenetic"
The transcriptional consequences of mutation and natural selection in Caenorhabditis elegans,"['DR Denver', 'K Morris', 'JT Streelman', 'SK Kim', 'M Lynch']",2005,Nature …,"The evolutionary importance of gene-expression divergence is unclear: some studies suggest that it is an important mechanism for evolution by natural selection 1, 2, whereas others claim that most between-species regulatory changes are neutral or nearly neutral 3"
The rate of polygenic mutation,['M Lynch'],1988,Genetics Research,"By application of the neutral model of phenotypic evolution, quantitative estimates of the rate of input of genetic variance by polygenic mutation can be extracted from divergence experiments as well as from the response of an inbred base population to selection. The"
"Adaptive landscapes, genetic distance and the evolution of quantitative characters","['NH Barton', 'M Turelli']",1987,Genetics Research,The maintenance of polygenic variability by a balance between mutation and stabilizing selection has been analysed using two approximations: the 'Gaussian'and the 'house of cards'. These lead to qualitatively different relationships between the equilibrium genetic
Genomic mutation rates for lifetime reproductive output and lifespan in Caenorhabditis elegans,"['PD Keightley', 'A Caballero']",1997,Proceedings of the National …,Theory concerning the evolution of sex and recombination and mutation load relies on information on rates and distributions of effects of deleterious mutations. Direct information on the genomic mutation rate in Drosophila implies that an accumulation of mildly
Quantitative genetics in plants: the effect of the breeding system on genetic variability,"['D Charlesworth', 'B Charlesworth']",1995,Evolution,"The expected effects of breeding system on quantitative genetic variation under various models for the maintenance of such variation are examined, with particular emphasis on the contrast between randomly mating and highly self‐fertilizing populations. Estimates of"
Population genetic variation in gene expression is associated with phenotypic variation in Saccharomyces cerevisiae,"['JC Fay', 'HL McCullough']",2004,Genome …,The relationship between genetic variation in gene expression and phenotypic variation observable in nature is not well understood. Identifying how many phenotypes are associated with differences in gene expression and how many gene-expression differences
Natural selection on gene expression,"['Y Gilad', 'A Oshlack', 'SA Rifkin']",2006,TRENDS in Genetics,"Changes in genetic regulation contribute to adaptations in natural populations and influence susceptibility to human diseases. Despite their potential phenotypic importance, the selective pressures acting on regulatory processes in general and gene expression levels in"
Causes of covariation of phenotypic traits among populations,"['WS Armbruster', 'KE Schwaegerle']",1996,Journal of Evolutionary …,"Morphological and life‐history traits often vary among populations of a species. Traits generally do not vary independently, but show patterns of covariation that can arise from genetic and environmental influences on phenotype. Covariance of traits may arise at an"
Comparative animal biochemistry,['K Urich'],2013,NA,"tribute greatly to understanding the origins of The plan for this book goes back almost 20 years. Already, at that time, it was possible to recognize organisms. an extraordinary variation in metabolites and To provide the biochemist with a ready over processes"
"Evolvability, stabilizing selection, and the problem of stasis","['TF Hansen', 'D Houle']",2004,… : Studying the ecology and evolution of …,Evolutionary stasis has a paradoxical position in current evolutionary thinking. Williams (1992) argued convincingly that stasis is one of the most important unsolved problems of evolutionary biology (see also Bradshaw 1991). Stasis is arguably the predominant mode of
Rapid evolution of expression and regulatory divergences after yeast gene duplication,"['X Gu', 'Z Zhang', 'W Huang']",2005,Proceedings of the National …,"Although gene duplication is widely believed to be the major source of genetic novelty, how the expression or regulatory network of duplicate genes evolves remains poorly understood. In this article, we propose an additive expression distance between duplicate genes, so that"
A mutation accumulation assay reveals a broad capacity for rapid evolution of gene expression,"['SA Rifkin', 'D Houle', 'J Kim', 'KP White']",2005,Nature,Mutation is the ultimate source of biological diversity because it generates the variation that fuels evolution 1. Gene expression is the first step by which an organism translates genetic information into developmental change. Here we estimate the rate at which mutation
Were neandertal and modern human cranial differences produced by natural selection or genetic drift?,"['TD Weaver', 'CC Roseman', 'CB Stringer']",2007,Journal of human evolution,Most evolutionary explanations for cranial differences between Neandertals and modern humans emphasize adaptation by natural selection. Features of the crania of Neandertals could be adaptations to the glacial climate of Pleistocene Europe or to the high mechanical
Which cranial regions reflect molecular distances reliably in humans? Evidence from three‐dimensional morphology,['HF Smith'],2009,American Journal of Human Biology: The Official …,Knowledge of the degree to which various subsets of morphological data reflect molecular relationships is crucial for studies attempting to estimate genetic relationships from patterns of morphological variation. This study assessed the phylogenetic utility of six
Neutral additive genetic variance in a metapopulation,['MC Whitlock'],1999,Genetics Research,"For neutral, additive quantitative characters, the amount of additive genetic variance within and among populations is predictable from Wright's FST, the effective population size and the mutational variance. The structure of quantitative genetic variance in a subdivided"
Contrasting patterns of divergence in quantitative traits and neutral DNA markers: analysis of clinal variation,['JF Storz'],2002,Molecular Ecology,"Clinal variation in quantitative traits is often attributed to the effects of spatially varying selection. However, identical patterns can be produced by the interplay between purely stochastic processes (ie drift in combination with spatially restricted gene flow). One means"
Modeling genetic architecture: a multilinear theory of gene interaction,"['TF Hansen', 'GP Wagner']",2001,Theoretical population biology,The map from genotype to phenotype is an exceedingly complex function of central importance in biology. In this work we derive and analyze a mathematically tractable model of the genotype–phenotype map that allows for any order of gene interaction. By assuming
Microevolution in island forms: the roles of drift and directional selection in morphological divergence of a passerine bird,"['SM Clegg', 'SM Degnan', 'C Moritz', 'A Estoup']",2002,…,Theory predicts that in small isolated populations random genetic drift can lead to phenotypic divergence; however this prediction has rarely been tested quantitatively in natural populations. Here we utilize natural repeated island colonization events by members
The evolution of the G matrix: selection or drift?,['D Roff'],2000,Heredity,"The evolution of quantitative characters can be described by the equation Δz¯= GP− 1S where Δz¯ is the vector of mean responses, G is the matrix of additive genetic variances and covariances, P is the matrix of phenotypic variances and covariances and S is the vector of"
"Rates of divergence in gene expression profiles of primates, mice, and flies: stabilizing selection and variability among functional categories","['B Lemos', 'CD Meiklejohn', 'M Cáceres', 'DL Hartl']",2005,Evolution,The extent to which natural selection shapes phenotypic variation has long been a matter of debate among those studying organic evolution. We studied the patterns of gene expression polymorphism and divergence in several datasets that ranged from comparisons between
Estimates of the Rate and Distribution of Fitness Effects of Spontaneous Mutation in Saccharomyces cerevisiae,"['C Zeyl', 'JAGM DeVisser']",2001,Genetics,"The per-genome, per-generation rate of spontaneous mutation affecting fitness (U) and the mean fitness cost per mutation (s) are important parameters in evolutionary genetics, but have been estimated for few species. We estimated U and sh (the heterozygous effect of"
Naturally occurring variation in bristle number and DNA polymorphisms at the scabrous locus of Drosophila melanogaster,"['C Lai', 'RF Lyman', 'AD Long', 'CH Langley']",1994,Science,"The association between quantitative genetic variation in bristle number and molecular variation at a candidate neurogenic locus, scabrous, was examined in Drosophila melanogaster. Approximately 32 percent of the genetic variation in abdominal bristle"
Song divergence by sensory drive in Amazonian birds,"['JA Tobias', 'J Aben', 'RT Brumfield']",2010,… Journal of Organic …,"Visual signals are shaped by variation in the signaling environment through a process termed sensory drive, sometimes leading to speciation. However, the evidence for sensory drive in acoustic signals is restricted to comparisons between highly dissimilar habitats, or"
Spontaneous Mutational Effects on Reproductive Traits of Arabidopsis thaliana,"['RG Shaw', 'DL Byers', 'E Darmo']",2000,Genetics,"A study of spontaneous mutation in Arabidopsis thaliana was initiated from a single inbred Columbia founder; 120 lines were established and advanced 17 generations by single-seed descent. Here, we report an assay of reproductive traits in a random set of 40 lines from"
Evolution of genetic variability and the advantage of sex and recombination in changing environments,['R Bürger'],1999,Genetics,"The role of recombination and sexual reproduction in enhancing adaptation and population persistence in temporally varying environments is investigated on the basis of a quantitative-genetic multilocus model. Populations are finite, subject to density-dependent regulation"
Inbreeding Changes the Shape of the Genetic Covariance Matrix in Drosophila melanogaster,"['PC Phillips', 'MC Whitlock', 'K Fowler']",2001,Genetics,The pattern of genetic covariation among traits (the G matrix) plays a central role in determining the pattern of evolutionary change from both natural selection and random genetic drift. Here we measure the effect of genetic drift on the shape of the G matrix using a
Evaluating the role of natural selection in the evolution of gene regulation,"['JC Fay', 'PJ Wittkopp']",2008,Heredity,"Surveys of gene expression reveal extensive variability both within and between a wide range of species. Compelling cases have been made for adaptive changes in gene regulation, but the proportion of expression divergence attributable to natural selection"
Genetic isolation of fragmented populations is exacerbated by drift and selection,"['Y Willi', 'J Van Buskirk', 'B Schmid']",2007,Journal of evolutionary …,"Reduced genetic variation at marker loci in small populations has been well documented, whereas the relationship between quantitative genetic variation and population size has attracted little empirical investigation. Here we demonstrate that both neutral and"
"The population genetics of mutations: good, bad and indifferent","['L Loewe', 'WG Hill']",2010,NA,"Population genetics is fundamental to our understanding of evolution, and mutations are essential raw materials for evolution. In this introduction to more detailed papers that follow, we aim to provide an oversight of the field. We review current knowledge on mutation rates"
Uncovering evolutionary patterns of gene expression using microarrays,"['JM Ranz', 'CA Machado']",2006,Trends in Ecology & Evolution,"The advent of microarray technology is providing new insights into fundamental questions in evolutionary biology. Here, we review the recent literature on the use of microarrays to study the evolution of genome-wide patterns of gene expression within and between species"
Rate tests for selection on quantitative characters during macroevolution and microevolution,"['M Turelli', 'JH Gillespie', 'R Lande']",1988,Evolution,"Evolutionary biologists are increasingly interested in testing alternative models rather than simply presenting plausible explanations for their observations. Although most biologists agree that significant phenotypic changes cannot occur without natural selection, it is useful"
Mixed-model reanalysis of primate data suggests tissue and species biases in oligonucleotide-based gene expression profiles,"['WP Hsieh', 'TM Chu', 'RD Wolfinger', 'G Gibson']",2003,Genetics,"An emerging issue in evolutionary genetics is whether it is possible to use gene expression profiling to identify genes that are associated with morphological, physiological, or behavioral divergence between species and whether these genes have undergone positive"
Bayesian species delimitation combining multiple genes and traits in a unified framework,"['C Solís‐Lemus', 'LL Knowles', 'C Ané']",2015,Evolution,"Delimitation of species based exclusively on genetic data has been advocated despite a critical knowledge gap: how might such approaches fail because they rely on genetic data alone, and would their accuracy be improved by using multiple data types. We provide here"
How much heritable variation can be maintained in finite populations by mutation–selection balance?,"['R Bürger', 'GP Wagner', 'F Stettinger']",1989,Evolution,"The joint effects of stabilizing selection, mutation, recombination, and random drift on the genetic variability of a polygenic character in a finite population are investigated. A simulation study is performed to test the validity of various analytical predictions on the"
Age-specific properties of spontaneous mutations affecting mortality in Drosophila melanogaster,"['SD Pletcher', 'D Houle', 'JW Curtsinger']",1998,Genetics,An analysis of the effects of spontaneous mutations affecting age-specific mortality was conducted using 29 lines of Drosophila melanogaster that had accumulated spontaneous mutations for 19 generations. Divergence among the lines was used to estimate the
Close correspondence between quantitative-and molecular-genetic divergence times for Neandertals and modern humans,"['TD Weaver', 'CC Roseman']",2008,Proceedings of the …,"Recent research has shown that genetic drift may have produced many cranial differences between Neandertals and modern humans. If this is the case, then it should be possible to estimate population genetic parameters from Neandertal and modern human cranial"
Model adequacy and the macroevolution of angiosperm functional traits,"['MW Pennell', 'RG FitzJohn', 'WK Cornwell']",2015,The American …,Making meaningful inferences from phylogenetic comparative data requires a meaningful model of trait evolution. It is thus important to determine whether the model is appropriate for the data and the question being addressed. One way to assess this is to ask whether the
Evolution of the genomic rate of recombination in mammals,"['BL Dumont', 'BA Payseur']",2008,Evolution: International Journal of …,"Rates of recombination vary considerably between species. Despite the significance of this observation for evolutionary biology and genetics, the evolutionary mechanisms that contribute to these interspecific differences are unclear. On fine physical scales"
Toward a neutral evolutionary model of gene expression,"['P Khaitovich', 'S Pääbo', 'G Weiss']",2005,Genetics,We introduce a stochastic model that describes neutral changes of gene expression over evolutionary time as a compound Poisson process where evolutionary events cause changes of expression level according to a given probability distribution. The model
The evolution of bird coloration and plumage elaboration,['UM Savalli'],1995,Current ornithology,"Although physically homogeneous, birds come in a wide variety of colors, rivaling butterflies and tropical reef fishes. Such variation invites attention and many hypotheses have been developed to explain the evolution of avian color and pattern. In addition, plumage of birds"
"Composite traits, selection response, and evolution",['B Riska'],1989,Evolution,It is very difficult to relate macroevolutionary patterns to the microevolutionary processes described by quantitative‐genetic models. Quantitative‐genetic parameters are statistical abstractions. Their long‐term significance and evolution might be understood if they can be
THE CONTRIBUTION OF NEW MUTATIONS TO GENOTYPE‐ENVIRONMENT INTERACTION FOR FITNESS IN DROSOPHILA MELANOGASTER,"['JD Fry', 'SL Heinsohn', 'TFC Mackay']",1996,Evolution,"Many studies have documented the existence of genotype‐environment interaction (GEI) for traits closely related to fitness in natural populations. A type of GEI that is commonly observed is changes in the fitness ranking of genetic groups (families, clones, or inbred"
"Evolutionary insights into global patterns of human cranial diversity: population history, climatic and dietary effects",['N von Cramon-Taubadel'],2014,J. Anthropol. Sci,"The study of cranial variation has a long, and somewhat difficult, history within anthropology. Much of this difficulty is rooted in the historical use of craniometric data to justify essentialist typological racial classification schemes. In the post-war era of the 'New Physical"
Mathematical properties of mutation-selection models,['R Bürger'],1998,Genetica,"This article provides an overview of the mathematical properties of various deterministic mutation-selection models. Many, even basic, results about models with more than two alleles per locus have only been obtained in the past two decades and are scattered"
"Mutation, selection, and the maintenance of life‐history variation in a natural population","['M Lynch', 'L Latta', 'J Hicks', 'M Giorgianni']",1998,Evolution,"In an effort to provide insight into the role of mutation in the maintenance of genetic variance for life‐history traits, we accumulated spontaneous mutations in 10 sets of clonal replicates of Daphnia pulex for approximately 30 generations and compared the variance generated"
Molecules versus morphology? Not for the human cranium,"['CC Roseman', 'TD Weaver']",2007,Bioessays,"Evolutionary investigations of human crania typically take a limited view of cranial diversity as they discount the possibility that human cranial variation could simply be due to the effects of random genetic drift, gene flow and mutation in favor of natural selection and"
"Detection of “punctuated equilibrium” by Bayesian estimation of speciation and extinction rates, ancestral character states, and rates of anagenetic and cladogenetic …",['F Bokma'],2008,Evolution: International Journal of Organic Evolution,"Algorithms are presented to simultaneously estimate probabilities of speciation and extinction, rates of anagenetic and cladogenetic phenotypic evolution, as well as ancestral character states, from a complete ultrametric species‐level phylogeny with dates assigned to"
Lack of concordance between genetic diversity estimates at the molecular and quantitative-trait levels,"['ME Pfrender', 'K Spitze', 'J Hicks', 'K Morgan', 'L Latta']",2000,Conservation …,"In many applications of population genetics, particularly in the field of conservation biology, estimates of molecular diversity are used as surrogate indicators of less easily acquired measures of genetic variation for quantitative traits. The general validity of this approach to"
EMS-induced polygenic mutation rates for nine quantitative characters in Drosophila melanogaster,"['PD Keightley', 'O Ohnishi']",1998,Genetics,"Polygenic mutations were induced by treating Drosophila melanogaster adult males with 2.5 mm EMS. The treated second chromosomes, along with untreated controls, were then made homozygous, and five life history, two behavioral, and two morphological traits were"
Testing quantitative genetic hypotheses about the evolutionary rate matrix for continuous characters,"['LJ Revell', 'LJ Harmon']",2008,Evolutionary Ecology Research,"Aim: Provide a new multivariate hypothesis testing approach for the evolution of continuous characters in a phylogenetic context. Background: Brownian motion is the most commonly used model for the evolution of quantitative traits. Under multivariate Brownian motion, the"
The evolution of information suppression in communicating robots with conflicting interests,"['S Mitri', 'D Floreano', 'L Keller']",2009,Proceedings of the National …,"Reliable information is a crucial factor influencing decision-making and, thus, fitness in all animals. A common source of information comes from inadvertent cues produced by the behavior of conspecifics. Here we use a system of experimental evolution with robots"
Modeling gene expression evolution with an extended Ornstein–Uhlenbeck process accounting for within-species variation,"['RV Rohlfs', 'P Harrigan', 'R Nielsen']",2014,Molecular biology and …,"Much of the phenotypic variation observed between even closely related species may be driven by differences in gene expression levels. The current availability of reliable techniques like RNA-Seq, which can quantify expression levels across species, has enabled"
The response to artificial selection from new mutations in Drosophila melanogaster.,"['A Caballero', 'MA Toro', 'C Lopez-Fanjul']",1991,Genetics,Twenty generations of divergent selection for abdominal bristle number were carried out starting from a completely homozygous population of Drosophila melanogaster. All lines were selected with the same proportion (20%) but at two different numbers of selected
A Quantitative Genetic Perspective on the Conservation of Intraspecifi c Diversity,['JBJ Hano'],1995,NA,ldenti $ ing appropriate units for the conservation of intraspecific variation requires consideration of the genetic basis of this variation. Most of the information available on the genetic basis of intraspecific variation has come from variation in molecular (primarily single
Microevolutionary support for a developmental hourglass: gene expression patterns shape sequence variation and divergence in Drosophila,"['T Cruickshank', 'MJ Wade']",2008,Evolution & development,SUMMARY A central goal of evolutionary developmental biology (Evo‐Devo) is to synthesize comparative molecular developmental genetics and its description of the dynamic relationship between genotype and phenotype with the microevolutionary
"Incipient allochronic speciation due to non-selective assortative mating by flowering time, mutation and genetic drift","['C Devaux', 'R Lande']",2008,… of the Royal Society B: Biological …,We model the evolution of flowering time using a multilocus quantitative genetic model with non-selective assortative mating and mutation to investigate incipient allochronic speciation in a finite population. For quantitative characters with evolutionary parameters satisfying
"EVOLUTION, PHYLOGENY, SEXUAL DIMORPHISM AND MATING SYSTEM IN THE GRACKLES (QUISCALUS SPP.: ICTERINAE)",['M Björklund'],1991,Evolution,"According to theory, two consequences of sexual selection are sexual dimorphism in size and secondary sexual characteristics, due to either intra‐or intersexual selection. In this paper I suggest three criteria for the test of an evolutionary hypothesis involving quantitative"
Spontaneous mutation for a quantitative trait in Drosophila melanogaster. II. Distribution of mutant effects on the trait and fitness,"['MA López', 'C López-Fanjul']",1993,Genetics Research,"Starting from a completely homozygous population of Drosophila melanogaster, lines have been derived and subjected to 47 generations of divergent selection for abdominal bristle number (20 lines selected in each direction) or to 60–67 generations of inbreeding (100 B"
Genetic analysis of genome-scale recombination rate evolution in house mice,"['BL Dumont', 'BA Payseur']",2011,PLoS genetics,"The rate of meiotic recombination varies markedly between species and among individuals. Classical genetic experiments demonstrated a heritable component to population variation in recombination rate, and specific sequence variants that contribute to recombination rate"
"Quantitative characters, phylogenies, and morphometrics",['J Felsenstein'],2002,Systematics Association Special Volume,"Morphometrics gives us a source of quantitative characters, and thus raises the question of how to use them in inferring phylogenies. I argue here that we can use statistical models for quantitative characters evolving along phylogenies, but that these require knowledge of the"
Extant mammal body masses suggest punctuated equilibrium,"['TM Mattila', 'F Bokma']",2008,… of the Royal Society B: Biological …,"Is gradual microevolutionary change within species simultaneously the source of macroevolutionary differentiation between species? Since its first publication, Darwin's original idea that phenotypic differences between species develop gradually over time, as"
Phylogenetic hypotheses under the assumption of neutral quantitative‐genetic variation,['M Lynch'],1989,Evolution,There are many situations in which the only available characters for reconstructing phylogenies are morphological. Those traits that are subject only to the forces of mutation and random genetic drift can be used to obtain unbiased estimates of phylogenetic
MIPoD: a hypothesis-testing framework for microevolutionary inference from patterns of divergence,"['PA Hohenlohe', 'SJ Arnold']",2008,The American Naturalist,"Despite the many triumphs of comparative biology during the past few decades, the field has remained strangely divorced from evolutionary genetics. In particular, comparative methods have failed to incorporate multivariate process models of microevolution that include genetic"
Statistical framework for phylogenomic analysis of gene family expression profiles,['X Gu'],2004,Genetics,"Microarray technology has produced massive expression data that are invaluable for investigating the genomewide evolutionary pattern of gene expression. To this end, phylogenetic expression analysis is highly desirable. On the basis of the Brownian process"
Effective size and polymorphism of linked neutral loci in populations under directional selection,"['E Santiago', 'A Caballero']",1998,Genetics,The general theory of the effective size (Ne) for populations under directional selection is extended to cover linkage. Ne is a function of the association between neutral and selected genes generated by finite sampling. This association is reduced by three factors: the
Mutation predicts 40 million years of fly wing evolution,"['D Houle', 'GH Bolstad', 'K van der Linde', 'TF Hansen']",2017,Nature,"Mutation enables evolution, but the idea that adaptation is also shaped by mutational variation is controversial 1, 2, 3, 4. Simple evolutionary hypotheses predict such a relationship if the supply of mutations constrains evolution 5, 6, but it is not clear that"
Detection of punctuated equilibrium from molecular phylogenies,['F Bokma'],2002,Journal of Evolutionary Biology,"The theory of 'punctuated equilibrium'hypothesises that most morphological change in species takes place in rapid bursts triggered by speciation. Eldregde and Gould postulated the theory in 1972, as an alternative to the idea that morphological change slowly"
Spontaneous Mutational Variation for Body Size in Caenorhabditis elegans,"['RBR Azevedo', 'PD Keightley', 'C Laurén-Määttä']",2002,Genetics,"We measured the impact of new mutations on genetic variation for body size in two independent sets of C. elegans spontaneous mutation-accumulation (MA) lines, derived from the N2 strain, that had been maintained by selfing for 60 or 152 generations. The two"
The mermaid's tale: four billion years of cooperation in the making of living things,"['KM Weiss', 'AV Buchanan']",2009,NA,"Even after 150 years, Darwin's theory of evolution by natural selection is irresistibly compelling. But how can this idea—in which competition prevails—be consistent with all that we know about the thoroughly cooperative nature of life at the genetic and cellular level"
