title,author,pub_year,venue,abstract
Gene expression divergence recapitulates the developmental hourglass model,"['AT Kalinka', 'KM Varga', 'DT Gerrard', 'S Preibisch']",2010,Nature,The observation that animal morphology tends to be conserved during the embryonic phylotypic period (a period of maximal similarity between the species within each animal phylum) led to the proposition that embryogenesis diverges more extensively early and late
Hierarchical comparison of genetic variance‐covariance matrices. I. Using the Flury hierarchy,"['PC Phillips', 'SJ Arnold']",1999,Evolution,The comparison of additive genetic variance‐covariance matrices (G‐matrices) is an increasingly popular exercise in evolutionary biology because the evolution of the G‐matrix is central to the issue of persistence of genetic constraints and to the use of dynamic models
The comparative approach in evolutionary anthropology and biology,['CL Nunn'],2011,NA,"viii preface propelled me along new paths of discovery. In addition, I was fortunate to use the manuscript as a reading in an undergraduate class titled “Comparison and Adaptation in Primate Evolutionary Biology,” which resulted in new insights from many different"
Phylogenetic logistic regression for binary dependent variables,"['AR Ives', 'T Garland Jr']",2010,Systematic biology,"We develop statistical methods for phylogenetic logistic regression in which the dependent variable is binary (0 or 1) and values are nonindependent among species, with phylogenetically related species tending to have the same value of the dependent variable"
Understanding the evolution and stability of the G‐matrix,"['SJ Arnold', 'R Bürger', 'PA Hohenlohe']",2008,… Journal of Organic …,"The G‐matrix summarizes the inheritance of multiple, phenotypic traits. The stability and evolution of this matrix are important issues because they affect our ability to predict how the phenotypic traits evolve by selection and drift. Despite the centrality of these issues"
Comparative transcriptomics reveals patterns of selection in domesticated and wild tomato,"['D Koenig', 'JM Jiménez-Gómez']",2013,Proceedings of the …,"Although applied over extremely short timescales, artificial selection has dramatically altered the form, physiology, and life history of cultivated plants. We have used RNAseq to define both gene sequence and expression divergence between cultivated tomato and five related"
Adaptation and the comparative method,['EP Martins'],2000,Trends in Ecology & Evolution,"Over the past two decades, it has become widely accepted that phylogenies need to be incorporated into statistical analyses of interspecific data. However, recent debate has focused on whether it is appropriate to apply phylogenetic comparative methods (PCMs) to"
Mutualistic networks,"['J Bascompte', 'P Jordano']",2013,NA,Observing plant-animal interactions in nature has remained one of the most fascinating aspects of our scientific activity. We recall the unforgettable experience of witnessing frugivorous birds feeding on fruits or hummingbirds pollinating flowers. These are mutually
A comparative method for studying adaptation to a randomly evolving environment,"['TF Hansen', 'J Pienaar', 'SH Orzack']",2008,… : International Journal of …,Most phylogenetic comparative methods used for testing adaptive hypotheses make evolutionary assumptions that are not compatible with evolution toward an optimal state. As a consequence they do not correct for maladaptation. The “evolutionary regression” that is
Morphometrics of the avian small intestine compared with that of nonflying mammals: a phylogenetic approach,"['SR Lavin', 'WH Karasov', 'AR Ives']",2008,Physiological and …,"Flying animals may experience a selective constraint on gut volume because the energetic cost of flight increases and maneuverability decreases with greater digesta load. The small intestine is the primary site of absorption of most nutrients (eg, carbohydrates, proteins, fat)"
Adaptive constraints and the phylogenetic comparative method: a computer simulation test,"['EP Martins', 'JAF Diniz‐Filho', 'EA Housworth']",2002,Evolution,"Recently, the utility of modern phylogenetic comparative methods (PCMs) has been questioned because of the seemingly restrictive assumptions required by these methods. Although most comparative analyses involve traits thought to be undergoing natural or"
Quantitative traits and diversification,['RG FitzJohn'],2010,Systematic biology,"Quantitative traits have long been hypothesized to affect speciation and extinction rates. For example, smaller body size or increased specialization may be associated with increased rates of diversification. Here, I present a phylogenetic likelihood-based method (quantitative"
THE RELATIONSHIP BETWEEN SEXUAL SIZE DIMORPHISM AND HABITAT USE IN GREATER ANTILLEAN ANOLIS LIZARDS,"['MA Butler', 'TW Schoener', 'JB Losos']",2000,Evolution,"Sexual size dimorphism (SSD) is the evolutionary result of selection operating differently on the body sizes of males and females. Anolis lizard species of the Greater Antilles have been classified into ecomorph classes, largely on the basis of their structural habitat (perch height"
Integrating fossils with molecular phylogenies improves inference of trait evolution,"['GJ Slater', 'LJ Harmon', 'ME Alfaro']",2012,… : International Journal of …,Comparative biologists often attempt to draw inferences about tempo and mode in evolution by comparing the fit of evolutionary models to phylogenetic comparative data consisting of a molecular phylogeny with branch lengths and trait measurements from extant taxa. These
"The relative importance of directional change, random walks, and stasis in the evolution of fossil lineages",['G Hunt'],2007,Proceedings of the National Academy of Sciences,"The nature of evolutionary changes recorded by the fossil record has long been controversial, with particular disagreement concerning the relative frequency of gradual change versus stasis within lineages. Here, I present a large-scale, statistical survey of"
The statistical analysis of interspecific data: a review and evaluation of phylogenetic comparative methods,"['EP Martins', 'TF Hansen']",1996,… and the comparative method in animal …,"In the last few decades, the comparative method has undergone a virtual renaissance in evolutionary biology as researchers develop new ways to incorporate taxonomic and phylogenetic information into the design and analysis of interspecific data (see Brooks &"
The million-year wait for macroevolutionary bursts,"['JC Uyeda', 'TF Hansen', 'SJ Arnold']",2011,Proceedings of the …,Bacterial blight is a devastating disease of rice (Oryza sativa) caused by Xanthomonas oryzae pv oryzae (Xoo). Zinc finger proteins harboring the motif with three conserved cysteine residues and one histidine residue (CCCH) belong to a large family. Although at
The phylogenetic mixed model,"['EA Housworth', 'EP Martins']",2004,The American …,"The phylogenetic mixed model is an application of the quantitative-genetic mixed model to interspecific data. Although this statistical framework provides a potentially unifying approach to quantitative-genetic and phylogenetic analysis, the model has been applied"
"Multivariate sexual dimorphism, sexual selection, and adaptation in Greater Antillean Anolis lizards","['MA Butler', 'JB Losos']",2002,Ecological Monographs,"Sexual variation in body form is a common phenomenon in the natural world. Although most research has focused on dimorphism in size, examination of differences in shape can provide insight into ecological factors that may differ in importance to the sexes. In this study"
Relative testis size and sperm morphometry across mammals: no evidence for an association between sperm competition and sperm length,"['MJG Gage', 'RP Freckleton']",2003,Proceedings of the Royal …,Understanding why there is extensive variation in sperm form and function across taxa has been a challenge because sperm are specialized cells operating at a microscopic level in a complex environment. This comparative study collates published data to determine whether
Polymorphism in systematics and comparative biology,['JJ Wiens'],1999,Annual Review of Ecology and Systematics,"▪ Abstract Polymorphism, or variation within species, is common in all kinds of data and is the major focus of research on microevolution. However, polymorphism is often ignored by those who study macroevolution: systematists and comparative evolutionary biologists"
Is your phylogeny informative? Measuring the power of comparative methods,"['C Boettiger', 'G Coop', 'P Ralph']",2012,Evolution: International Journal …,Phylogenetic comparative methods may fail to produce meaningful results when either the underlying model is inappropriate or the data contain insufficient information to inform the inference. The ability to measure the statistical power of these methods has become crucial
"An integrative view of phylogenetic comparative methods: connections to population genetics, community ecology, and paleobiology","['MW Pennell', 'LJ Harmon']",2013,Annals of the New York Academy of …,"Recent innovations in phylogenetic comparative methods (PCMs) have spurred a renaissance of research into the causes and consequences of large‐scale patterns of biodiversity. In this paper, we review these advances. We also highlight the potential of"
mvmorph: an r package for fitting multivariate evolutionary models to morphometric data,"['J Clavel', 'G Escarguel']",2015,Methods in Ecology and …,"We present mvmorph, a package of multivariate phylogenetic comparative methods for the r statistical environment. mvmorph is freely available on the cran package repository (http://cran. r-project. org/web/packages/mvMORPH/). mvmorph allows fitting a range of"
Evolutionary inferences from phylogenies: a review of methods,"[""BC O'Meara""]",2012,"Annual Review of Ecology, Evolution, and …","There are many methods for making evolutionary inferences from phylogenetic trees. Many of these can be divided into three main classes of models: continuous-time Markov chain models with finite state space (CTMC-FSS), multivariate normal models, and birth-death"
Fitting and comparing models of phyletic evolution: random walks and beyond,['G Hunt'],2006,Paleobiology,"For almost 30 years, paleontologists have analyzed evolutionary sequences in terms of simple null models, most commonly random walks. Despite this long history, there has been little discussion of how model parameters may be estimated from real paleontological data"
Evolutionarily stable configurations: functional integration and the evolution of phenotypic stability,"['GP Wagner', 'K Schwenk']",2000,Evolutionary biology,"Phenotypic evolution has been studied since Darwin established the fact of evolution. In contrast, molecular evolution has been a subject of study since the mid-1960s. Nevertheless, our understanding of the mechanisms of phenotypic evolution is far less"
"Phylogenetic relationships, ecological correlates, and molecular evolution within the Cavioidea (Mammalia, Rodentia)","['DL Rowe', 'RL Honeycutt']",2002,Molecular Biology and Evolution,A molecular phylogeny of the rodent superfamily Cavioidea was derived using two nuclear sequences (exon# 10 of the growth hormone receptor gene and intron# 1 of the transthyretin gene) and one mitochondrial gene (12S rRNA). A combined analysis produced a highly
A meta‐analysis of the traits affecting dispersal ability in butterflies: can wingspan be used as a proxy?,['S Sekar'],2012,Journal of Animal Ecology,"Dispersal ability of a species is a key ecological characteristic, affecting a range of processes from adaptation, community dynamics and genetic structure, to distribution and range size. It is determined by both intrinsic species traits and extrinsic landscape‐related"
THE EVOLUTION OF THERMOTOLERANCE IN HOT SPRING CYANOBACTERIA OF THE GENUS SYNECHOCOCCUS,"['SR Miller', 'RW Castenholz']",2000,Journal of Phycology,"The extension of ecological tolerance limits may be an important mechanism by which microorganisms adapt to novel environments, but it may come at the evolutionary cost of reduced performance under ancestral conditions. We combined a comparative physiological"
A method for assessing phylogenetic least squares models for shape and other high‐dimensional multivariate data,['DC Adams'],2014,Evolution,"Studies of evolutionary correlations commonly use phylogenetic regression (ie, independent contrasts and phylogenetic generalized least squares) to assess trait covariation in a phylogenetic context. However, while this approach is appropriate for evaluating trends in"
Darwinian shortfalls in biodiversity conservation,"['JAF Diniz-Filho', 'RD Loyola', 'P Raia', 'AO Mooers']",2013,Trends in Ecology & …,"If we were to describe all the species on Earth and determine their distributions, we would solve the popularly termed 'Linnean'and 'Wallacean'shortfalls in biodiversity conservation. Even so, we would still be hindered by a 'Darwinian shortfall', that is, the lack of relevant"
Evolutionary dynamics of complex biomechanical systems: an example using the four‐bar mechanism,"['ME Alfaro', 'DI Bolnick', 'PC Wainwright']",2004,Evolution,"Like many phenotypic traits, biomechanical systems are defined by both an underlying morphology and an emergent functional property. The relationship between these levels may have a profound impact on how selection for functional performance is translated into"
Tracing the origins of signal diversity in anole lizards: phylogenetic approaches to inferring the evolution of complex behaviour,"['TJ Ord', 'EP Martins']",2006,Animal Behaviour,"Within species, natural and sexual selection work together to shape the design of animal communicative systems, and sometimes act differentially on alternate components to produce a single elaborate phenotype that works well in several contexts. Here, we show a"
Interpreting the evolutionary regression: the interplay between observational and biological errors in phylogenetic comparative studies,"['TF Hansen', 'K Bartoszek']",2012,Systematic biology,"Regressions of biological variables across species are rarely perfect. Usually, there are residual deviations from the estimated model relationship, and such deviations commonly show a pattern of phylogenetic correlations indicating that they have biological causes. We"
Evolution of osmoregulatory patterns and gill ion transport mechanisms in the decapod Crustacea: a review,"['JC McNamara', 'SC Faria']",2012,Journal of Comparative Physiology B,Decapod crustaceans exhibit a wide range of osmoregulatory patterns and capabilities from marine osmoconformers to brackish and freshwater hyperregulators to terrestrial hyporegulators. The principal gill salt transport mechanisms proposed to underlie the ability
Piscivory limits diversification of feeding morphology in centrarchid fishes,"['DC Collar', ""BC O'Meara""]",2009,… International Journal of …,"Proximity to an adaptive peak influences a lineage's potential to diversify. We tested whether piscivory, a high quality but functionally demanding trophic strategy, represents an adaptive peak that limits morphological diversification in the teleost fish clade, Centrarchidae. We"
The tempo and mode of three-dimensional morphological evolution in male reproductive structures,"['MA McPeek', 'L Shen', 'JZ Torrey']",2008,The American …,"Various evolutionary forces may shape the evolution of traits that influence the mating decisions of males and females. Phenotypic traits that males and females use to judge the species identify of potential mates should evolve in a punctuated fashion, changing"
Scale and hierarchy in macroevolution,['D Jablonski'],2007,Palaeontology,"Scale and hierarchy must be incorporated into any conceptual framework for the study of macroevolution, ie evolution above the species level. Expansion of temporal and spatial scales reveals evolutionary patterns and processes that are virtually inaccessible to, and"
Testing the metabolic theory of ecology: allometric scaling exponents in mammals,"['RP Duncan', 'DM Forsyth', 'J Hone']",2007,Ecology,Many fundamental traits of species measured at different levels of biological organization appear to scale as a power law to body mass (M) with exponents that are multiples of ¼. Recent work has united these relationships in a “metabolic theory of ecology”(MTE) that
Meta-analysis and the comparative phylogenetic method,['MJ Lajeunesse'],2009,The American Naturalist,"Meta-analysis has contributed substantially to shifting paradigms in ecology and has become the primary method for quantitatively synthesizing published research. However, an emerging challenge is the lack of a statistical protocol to synthesize studies and evaluate"
"An introduction to microevolution: rate, pattern, process","['AP Hendry', 'MT Kinnison']",2001,Genetica,"This special issue of Genetica brings together a diverse collection of contributions that examine evolution within and among populations (ie, microevolution), and the role that microevolution plays in the formation of new species and morphological forms (ie"
Testing for ancient adaptive radiations in Neotropical cichlid fishes,"['H López‐Fernández', 'JH Arbour', 'KO Winemiller']",2013,…,Most contemporary studies of adaptive radiation focus on relatively recent and geographically restricted clades. It is less clear whether diversification of ancient clades spanning entire continents is consistent with adaptive radiation. We used novel fossil
The adaptive landscape in evolutionary biology,"['E Svensson', 'R Calsbeek']",2012,NA,"The'Adaptive Landscape'has been a central concept in population genetics and evolutionary biology since this powerful metaphor was first formulated by Sewall Wright in 1932. Eighty years later, it has become a central framework in evolutionary quantitative"
Model adequacy and the macroevolution of angiosperm functional traits,"['MW Pennell', 'RG FitzJohn', 'WK Cornwell']",2015,The American …,Making meaningful inferences from phylogenetic comparative data requires a meaningful model of trait evolution. It is thus important to determine whether the model is appropriate for the data and the question being addressed. One way to assess this is to ask whether the
Estimation of ancestral states of continuous characters: a computer simulation study,['EP Martins'],1999,Systematic Biology,"In systematics, we usually estimate an? cestral phenotypes of morphological and molecular characters measured as categor? ical or"" state"" variables. Ancestral estima? tion has also been important in the stud? ies of animal behavior, physiology, ecology, and other areas of"
"Calls, colours, shape, and genes: a multi-trait approach to the study of geographic variation in the Amazonian frog Allobates femoralis","['A Amezquita', 'AP Lima', 'R Jehle']",2009,Biological Journal of …,"Evolutionary divergence in behavioural traits related to mating may represent the initial stage of speciation. Direct selective forces are usually invoked to explain divergence in mate-recognition traits, often neglecting a role for neutral processes or concomitant differentiation"
"Phylogenies, spatial autoregression, and the comparative method: a computer simulation test",['EP Martins'],1996,Evolution,"Brownian motion computer simulation was used to test the statistical properties of a spatial autoregressive method in estimating evolutionary correlations between two traits using interspecific comparative data. When applied with a phylogeny of 42 species, the method"
Assessing current adaptation and phylogenetic inertia as explanations of trait evolution: the need for controlled comparisons,"['TF Hansen', 'SH Orzack']",2005,Evolution,"The determination of whether the pattern of trait evolution observed in a comparative analysis of species data is due to adaptation to current environments, to phylogenetic inertia, or to both of these forces requires that one control for the effects of either force when making"
"Community phylogenetics at the biogeographical scale: cold tolerance, niche conservatism and the structure of N orth A merican forests","['BA Hawkins', 'M Rueda', 'TF Rangel', 'R Field']",2014,Journal of …,"Aim The fossil record has led to a historical explanation for forest diversity gradients within the cool parts of the Northern Hemisphere, founded on a limited ability of woody angiosperm clades to adapt to mid‐Tertiary cooling. We tested four predictions of how this should be"
A phylogenetic comparative method for studying multivariate adaptation,"['K Bartoszek', 'J Pienaar', 'P Mostad', 'S Andersson']",2012,Journal of Theoretical …,"Phylogenetic comparative methods have been limited in the way they model adaptation. Although some progress has been made, there are still no methods that can fully account for coadaptation between traits. Based on Ornstein–Uhlenbeck (OU) models of adaptive"
Phylogenetic analysis of the evolutionary correlation using likelihood,"['LJ Revell', 'DC Collar']",2009,Evolution: International Journal of …,"Many evolutionary processes can lead to a change in the correlation between continuous characters over time or on different branches of a phylogenetic tree. Shifts in genetic or functional constraint, in the selective regime, or in some combination thereof can influence"
Rethinking phylogenetic comparative methods,"['JC Uyeda', 'R Zenil-Ferguson', 'MW Pennell']",2018,Systematic Biology,"As a result of the process of descent with modification, closely related species tend to be similar to one another in a myriad different ways. In statistical terms, this means that traits measured on one species will not be independent of traits measured on others. Since their"
Adaptive zones and the pinniped ankle: a three-dimensional quantitative analysis of carnivoran tarsal evolution,['PD Polly'],2008,Mammalian evolutionary morphology,"Bones are functional. Stated so abruptly, this observation is a truism, but its significance depends on the context in which it is made. In an individual animal, bones support loads, resist muscular contractions, and facilitate bodily movements. Bone form both constrains"
The contribution of selection and genetic constraints to phenotypic divergence,"['SF Chenoweth', 'HD Rundle']",2010,The American …,"Although divergent natural selection is common in nature, the extent to which genetic constraints bias evolutionary trajectories in its presence remains largely unknown. Here we develop a general framework to integrate estimates of divergent selection and genetic"
Phylogenetic comparative methods and the geographic range size–body size relationship in new world terrestrial carnivora,"['JAF Diniz-Filho', 'NM Tôrres']",2002,Evolutionary Ecology,"Most recent papers avoid describing macroecological relationships and interpreting then without a previous control of non-independence in data caused by phylogenetic patterns in data. In this paper, we analyzed the geographic range size–body size relationship for 70"
MOTMOT: models of trait macroevolution on trees,"['GH Thomas', 'RP Freckleton']",2012,Methods in Ecology and Evolution,Models of trait macroevolution on trees (MOTMOT) is a new software package that tests for variation in the tempo and mode of continuous character evolution on phylogenetic trees. MOTMOT provides tools to fit a range of models of trait evolution with emphasis on variation
The mode of pheromone evolution: evidence from bark beetles,"['MRE Symonds', 'MA Elgar']",2004,Proceedings of the Royal …,Sex and aggregation pheromones consist of species–specific blends of chemicals. The way in which different species' blends have evolved has been the subject of some debate. Theoretical predictions suggest that differences between species have arisen not through
Evolution toward a new adaptive optimum: phenotypic evolution in a fossil stickleback lineage,"['G Hunt', 'MA Bell', 'MP Travis']",2008,Evolution,"Natural selection has almost certainly shaped many evolutionary trajectories documented in fossil lineages, but it has proven difficult to demonstrate this claim by analyzing sequences of evolutionary changes. In a recently published and particularly promising test case, an"
On the selection of phylogenetic eigenvectors for ecological analyses,"['JAF Diniz‐Filho', 'LM Bini', 'TF Rangel']",2012,…,"Among the statistical methods available to control for phylogenetic autocorrelation in ecological data, those based on eigenfunction analysis of the phylogenetic distance matrix among the species are becoming increasingly important tools. Here, we evaluate a range of"
Global patterns of leaf defenses in oak species,"['IS Pearse', 'AL Hipp']",2012,Evolution: International Journal of Organic …,"Plant defensive traits drive patterns of herbivory and herbivore diversity among plant species. Over the past 30 years, several prominent hypotheses have predicted the association of plant defenses with particular abiotic environments or geographic regions. We"
Performance surfaces and adaptive landscapes,['SJ Arnold'],2003,Integrative and comparative biology,"In an earlier characterization of the relationship between morphology, performance and fitness, I focused only on directional selection (Arnold, 1983). The aim of this article is to extend that characterization to include stabilizing and other forms of nonlinear selection. As"
Phylogenetic analysis using Lévy processes: finding jumps in the evolution of continuous traits,"['MJ Landis', 'JG Schraiber', 'M Liang']",2013,Systematic biology,"Gaussian processes, a class of stochastic processes including Brownian motion and the Ornstein–Uhlenbeck process, are widely used to model continuous trait evolution in statistical phylogenetics. Under such processes, observations at the tips of a phylogenetic"
Discordance between morphological and mechanical diversity in the feeding mechanism of centrarchid fishes,"['DC Collar', 'PC Wainwright']",2006,Evolution,"Morphological diversity is routinely used to infer ecological variation among species because differences in form underlie variation in functional performance of ecological tasks like capturing prey, avoiding predators, or defending territories. However, many functions"
Detritivory: stoichiometry of a neglected trophic level,"['HM Martinson', 'K Schneider', 'J Gilbert', 'JE Hines']",2008,Ecological …,"Previous syntheses have identified the key roles that phylogeny, body size, and trophic level play in determining arthropod stoichiometry. To date, however, detritivores have been largely omitted from such syntheses, despite their importance in nutrient cycling, biodiversity"
Evolution of stenophagy in spiders (Araneae): evidence based on the comparative analysis of spider diets,"['S Pekár', 'JA Coddington']",2012,… : International Journal of …,"Stenophagy (narrow diet breadth) represents an extreme of trophic specialization in carnivores, but little is known about the forces driving its evolution. We used spiders, the most diversified group of terrestrial predators, to investigate whether stenophagy (1)"
Testing for phylogenetic signal in phenotypic traits: new matrices of phylogenetic proximities,"['S Pavoine', 'S Ollier', 'D Pontier', 'D Chessel']",2008,Theoretical population biology,"Abouheif adapted a test for serial independence to detect a phylogenetic signal in phenotypic traits. We provide the exact analytic value of this test, revealing that it uses Moran's I statistic with a new matrix of phylogenetic proximities. We introduce then two new"
"Evolutionary dynamics of intron size, genome size, and physiological correlates in archosaurs","['E Waltari', 'SV Edwards']",2002,The American Naturalist,"It has been proposed that intron and genome sizes in birds are reduced in comparison with mammals because of the metabolic demands of flight. To test this hypothesis, we examined the sizes of 14 introns in a nonflying relative of birds, the American alligator (Alligator"
Phylogenetic analyses: comparing species to infer adaptations and physiological mechanisms,"['EL Rezende', 'JAF Diniz‐Filho']",2011,Comprehensive Physiology,"Comparisons among species have been a standard tool in animal physiology to understand how organisms function and adapt to their surrounding environment. During the last two decades, conceptual and methodological advances from different fields, including"
"Mammalian metabolic allometry: do intraspecific variation, phylogeny, and regression models matter?","['AE Sieg', ""MP O'Connor"", 'JN McNair']",2009,The American …,Power scaling relationships between body mass and organismal traits are fundamental to biology. Compilations of mammalian masses and basal metabolic rates date back over a century and are used both to support and to assail the universal quarter-power scaling
Micro‐and macroevolutionary decoupling of cichlid jaws: a test of Liem's key innovation hypothesis,"['CD Hulsey', 'FJG de León', 'R Rodiles‐Hernández']",2006,Evolution,"The extent to which elements of functional systems can change independently (modularity) likely influences the diversification of lineages. Major innovations in organismal design, like the pharyngeal jaw in cichlid fishes, may be key to a group's success when they relax"
Comparing evolutionary rates for different phenotypic traits on a phylogeny using likelihood,['DC Adams'],2013,Systematic Biology,"In recent years, likelihood-based approaches have been used with increasing frequency to evaluate macroevolutionary hypotheses of phenotypic evolution under distinct evolutionary processes in a phylogenetic context (eg, Brownian motion, Ornstein-Uhlenbeck, etc.), and to"
BODY SIZE DIVERSIFICATION IN ANOLIS: NOVEL ENVIRONMENT AND ISLAND EFFECTS,"['GH Thomas', 'S Meiri']",2009,… : International Journal of …,Extreme morphologies of many insular taxa suggest that islands have unusual properties that influence the tempo and mode of evolution. Yet whether insularity per se promotes rapid phenotypic evolution remains largely untested. We extend a phylogenetic comparative
"Biomechanics of the bat limb skeleton: scaling, material properties and mechanics","['SM Swartz', 'KM Middleton']",2008,Cells Tissues Organs,"Background/Aims: Wing skeletons of bats are uniquely specialized for flight, reflecting both evolutionary history and the need to maintain structural integrity while generating aerodynamic forces. Methods: We analyzed the anatomical structure of bat wing skeletons in"
NONUNIFORM PROCESSES OF CHROMOSOME EVOLUTION IN SEDGES (CAREX: CYPERACEAE),['AL Hipp'],2007,Evolution: International Journal of Organic Evolution,"Holocentric chromosomes—chromosomes that lack localized centromeres—occur in numerous unrelated clades of insects, flatworms, and angiosperms. Chromosome number changes in such organisms often result from fission and fusion events rather than polyploidy"
