title,author,pub_year,venue,abstract
Visualizing multivariate selection,"['PC Phillips', 'SJ Arnold']",1989,Evolution,Recent developments in quantitative‐genetic theory have shown that natural selection can be viewed as the multivariate relationship between fitness and phenotype. This relationship can be described by a multidimensional surface depicting fitness as a function of phenotypic
A population genetic theory of canalization,"['GP Wagner', 'G Booth', 'H Bagheri‐Chaichian']",1997,Evolution,"Canalization is the suppression of phenotypic variation. Depending on the causes of phenotypic variation, one speaks either of genetic or environmental canalization. Genetic canalization describes insensitivity of a character to mutations, and the insensitivity to"
Quantitative genetics and fitness: lessons from Drosophila,"['DA Roff', 'TA Mousseau']",1987,Heredity,"This paper examines patterns of heritability and genetic covariance between traits in the genus Drosophila. Traits are divided into the categories, morphology, behaviour, physiology and life history. Early theoretical analyses suggested that life history traits should have"
Measuring and comparing evolvability and constraint in multivariate characters,"['TF Hansen', 'D Houle']",2008,Journal of evolutionary biology,The Lande equation forms the basis for our understanding of the short‐term evolution of quantitative traits in a multivariate context. It predicts the response to selection as the product of an additive genetic variance matrix and a selection gradient. The selection gradient
Specialists and generalists in changing environments. I. Fitness landscapes of thermal sensitivity,['GW Gilchrist'],1995,The American Naturalist,Animals and plants often exhibit narrow ranges of thermal preference in variable environments; fitness-enhancing activities such as reproduction and growth tend to be concentrated during times in which body temperature lies within that narrow range. The
Perspective: spontaneous deleterious mutation,"['M Lynch', 'J Blanchard', 'D Houle', 'T Kibota', 'S Schultz']",1999,…,"Mildly deleterious mutation has been invoked as a leading explanation for a diverse array of observations in evolutionary genetics and molecular evolution and is thought to be a significant risk of extinction for small populations. However, much of the empirical evidence"
A quantitative-genetic perspective on conservation issues,['M Lynch'],1995,Conservation genetics: case histories from nature,CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索
Natural variation in genome architecture among 205 Drosophila melanogaster Genetic Reference Panel lines,"['W Huang', 'A Massouras', 'Y Inoue', 'J Peiffer']",2014,Genome …,"The Drosophila melanogaster Genetic Reference Panel (DGRP) is a community resource of 205 sequenced inbred lines, derived to improve our understanding of the effects of naturally occurring genetic variation on molecular and organismal phenotypes. We used an"
Perspective: a critique of Sewall Wright's shifting balance theory of evolution,"['JA Coyne', 'NH Barton', 'M Turelli']",1997,Evolution,"We evaluate Sewall Wright's three‐phase “shifting balance” theory of evolution, examining both the theoretical issues and the relevant data from nature and the laboratory. We conclude that while phases I and II of Wright's theory (the movement of populations from one"
Evolution of resistance to high temperature in ectotherms,"['RB Huey', 'JG Kingsolver']",1993,The American Naturalist,Body temperature influences the performance and fitness of ectotherms. How thermal sensitivity responds to selection for resistance to high temperature is broadly relevant in evolutionary physiology and also has practical implications. We review several
Speciation by reinforcement of premating isolation,"['LW Liou', 'TD Price']",1994,Evolution,"The generation of premating isolation given partial or complete postzygotic isolation between populations is termed reinforcement or, in the case of complete isolation, reproductive character displacement. In this study we use computer simulations and a"
"A comparison of phenotypic variation and covariation patterns and the role of phylogeny, ecology, and ontogeny during cranial evolution of New World monkeys","['G Marroig', 'JM Cheverud']",2001,Evolution,Similarity of genetic and phenotypic variation patterns among populations is important for making quantitative inferences about past evolutionary forces acting to differentiate populations and for evaluating the evolution of relationships among traits in response to new
"Optimization models, quantitative genetics, and mutation",['B Charlesworth'],1990,Evolution,The process of selection on a multivariate set of characters subject to functional constraints is considered from the points of view of both evolutionary optimization theory and quantitative genetics. Special attention is given to life‐history characteristics. It is shown that
Adaptive divergence and the balance between selection and gene flow: lake and stream stickleback in the Misty system,"['AP Hendry', 'EB Taylor', 'JD McPhail']",2002,Evolution,"We investigated the interplay between natural selection and gene flow in the adaptive divergence of threespine stickleback (Gasterosteus aculeatus) that reside parapatrically in lakes and streams. Within the Misty Lake system (Vancouver Island, British Columbia)"
Phenotypic evolution by neutral mutation,"['M Lynch', 'WG Hill']",1986,Evolution,A general model is developed for predicting the genetic variance within populations and the rate of divergence of population mean phenotypes for quantitative traits under the joint operation of random sampling drift and mutation in the absence of selection. In addition to
"Phenotypic evolution, constant covariances, and the maintenance of additive variance",['M Turelli'],1988,Evolution,"AG,= 1/2 [(GLE-G,)-G,(W,+ V,)-'G,],(6) where GLE=[g LE](cf. Eqs.(1),(3),(4); Bulmer, 1980 pp. 148-152). Assuming that the environmental co-variances remain constant and that the environment doeq not change GI, the entire nonadditive covariance structure, ie, VNA= VI"
Is self‐fertilization an evolutionary dead end? Revisiting an old hypothesis with genetic theories and a macroevolutionary approach,"['N Takebayashi', 'PL Morrell']",2001,American Journal of Botany,G. Ledyard Stebbins suggested that self‐fertilization (selfing) may be an evolutionary dead end because it may result in the loss of genetic diversity and consequently preclude adaptation to changing environments. While the basic premise of selfing as a dead end is
Pleiotropic models of quantitative variation.,['NH Barton'],1990,Genetics,"It is widely held that each gene typically affects many characters, and that each character is affected by many genes. Moreover, strong stabilizing selection cannot act on an indefinitely large number of independent traits. This makes it likely that heritable variation in any one"
Natural and sexual selection on many loci.,"['NH Barton', 'M Turelli']",1991,Genetics,"A method is developed that describes the effects on an arbitrary number of autosomal loci of selection on haploid and diploid stages, of nonrandom mating between haploid individuals, and of recombination. We provide exact recursions for the dynamics of allele frequencies"
Heritability is not evolvability,"['TF Hansen', 'C Pélabon', 'D Houle']",2011,Evolutionary Biology,"Short-term evolutionary potential depends on the additive genetic variance in the population. The additive variance is often measured as heritability, the fraction of the total phenotypic variance that is additive. Heritability is thus a common measure of evolutionary"
"Evolution of Female Choice and Male Parental Investment in Polygynous Species: The Demise of the"" Sexy Son""",['M Kirkpatrick'],1985,The American Naturalist,"Males of many polygynous animal species contribute nutrition, nest sites, parental care, or other material benefit to their mates in addition to their gametes. Variation in female reproductive success may be caused by variation in the quantity or quality of the male"
Theoretical models of selection and mutation on quantitative traits,"['T Johnson', 'N Barton']",2005,… of the Royal Society B: Biological …,"Empirical studies of quantitative genetic variation have revealed robust patterns that are observed both across traits and across species. However, these patterns have no compelling explanation, and some of the observations even appear to be mutually"
Good genes and direct selection in the evolution of mating preferences,['M Kirkpatrick'],1996,Evolution,"A model is used to study quantitatively the impact of a good genes process and direct natural selection on the evolution of a mating preference. The expression of a male display trait is proportional to genetic quality, which is determined by the number of deleterious"
Evolution of genetic variability in a spatially heterogeneous environment: effects of genotype–environment interaction,"['S Via', 'R Lande']",1987,Genetics Research,Classical population genetic models show that disruptive selection in a spatially variable environment can maintain genetic variation. We present quantitative genetic models for the effects of disruptive selection between environments on the genetic covariance structure of a
"Genetic and statistical analyses of strong selection on polygenic traits: what, me normal?","['M Turelli', 'NH Barton']",1994,Genetics,"We develop a general population genetic framework for analyzing selection on many loci, and apply it to strong truncation and disruptive selection on an additive polygenic trait. We first present statistical methods for analyzing the infinitesimal model, in which offspring"
The genetics of phenotypic plasticity. II. Response to selection,"['SM Scheiner', 'RF Lyman']",1991,Journal of Evolutionary Biology,We selected on phenotypic plasticity of thorax size in response to temperature in Drosophila melanogaster using a family selection scheme. The results were compared to those of lines selected directly on thorax size. We found that the plasticity of a character does respond to
Effects of P element insertions on quantitative traits in Drosophila melanogaster.,"['TF Mackay', 'RF Lyman', 'MS Jackson']",1992,Genetics,"P element mutagenesis was used to construct 94 third chromosome lines of Drosophila melanogaster which contained on average 3.1 stable P element inserts, in an inbred host strain background previously free of P elements. The homozygous and heterozygous effects"
"Polygenic Variation Maintained by Balancing Selection: Pleiotropy, Sex-Dependent Allelic Effects and G × E Interactions","['M Turelli', 'NH Barton']",2004,Genetics,"We investigate three alternative selection-based scenarios proposed to maintain polygenic variation: pleiotropic balancing selection, G× E interactions (with spatial or temporal variation in allelic effects), and sex-dependent allelic effects. Each analysis assumes an"
The rate of polygenic mutation,['M Lynch'],1988,Genetics Research,"By application of the neutral model of phenotypic evolution, quantitative estimates of the rate of input of genetic variance by polygenic mutation can be extracted from divergence experiments as well as from the response of an inbred base population to selection. The"
Understanding and using quantitative genetic variation,['WG Hill'],2010,Philosophical Transactions of the Royal Society …,"Quantitative genetics, or the genetics of complex traits, is the study of those characters which are not affected by the action of just a few major genes. Its basis is in statistical models and methodology, albeit based on many strong assumptions. While these are formally"
GENETIC CONSTRAINTS ON MACROEVOLUTION: THE EVOLUTION OF HOST AFFILIATION IN THE LEAF BEETLE GENUS OPHRAELLA,"['DJ Futuyma', 'MC Keese', 'DJ Funk']",1995,Evolution,"We hypothesize that the evolution of an ecologically important character, the host associations of specialized phytophagous insects, has been influenced by limitations on genetic variation. Using as a historical framework a phylogenetic reconstruction of the"
Orientation of the genetic variance-covariance matrix and the fitness surface for multiple male sexually selected traits,"['MW Blows', 'SF Chenoweth']",2004,The American Naturalist,"Stabilizing selection has been predicted to change genetic variances and covariances so that the orientation of the genetic variance-covariance matrix (G) becomes aligned with the orientation of the fitness surface, but it is less clear how directional selection may change G"
Genetic constraints on the evolution of phenotypic plasticity,['S Via'],1987,Genetic constraints on adaptive evolution,"In many species, dramatic phenotypic variation can be observed among individuals that are allowed to develop in different environments. Such environment-related phenotypic variation need not always indicate genetic differentiation; phenotypic variation among genetically"
"Genetic variability at neutral markers, quantitative trait loci and trait in a subdivided population under selection","['V Le Corre', 'A Kremer']",2003,Genetics,"Genetic variability in a subdivided population under stabilizing and diversifying selection was investigated at three levels: neutral markers, QTL coding for a trait, and the trait itself. A quantitative model with additive effects was used to link genotypes to phenotypes. No"
Genomic rearrangements and the evolution of clusters of locally adaptive loci,['S Yeaman'],2013,Proceedings of the National Academy of …,"Numerous studies of ecological genetics have found that alleles contributing to local adaptation sometimes cluster together, forming “genomic islands of divergence.” Divergence hitchhiking theory posits that these clusters evolve by the preferential establishment of tightly"
"Adaptive landscapes, genetic distance and the evolution of quantitative characters","['NH Barton', 'M Turelli']",1987,Genetics Research,The maintenance of polygenic variability by a balance between mutation and stabilizing selection has been analysed using two approximations: the 'Gaussian'and the 'house of cards'. These lead to qualitatively different relationships between the equilibrium genetic
High resolution mapping of genetic factors affecting abdominal bristle number in Drosophila melanogaster.,"['AD Long', 'SL Mullaney', 'LA Reid', 'JD Fry']",1995,…,Factors responsible for selection response for abdominal bristle number and correlated responses in sternopleural bristle number were mapped to the X and third chromosome of Drosophila melanogaster. Lines divergent for high and low abdominal bristle number were
The population genetic theory of hidden variation and genetic robustness,"['J Hermisson', 'GP Wagner']",2004,Genetics,One of the most solid generalizations of transmission genetics is that the phenotypic variance of populations carrying a major mutation is increased relative to the wild type. At least some part of this higher variance is genetic and due to release of previously hidden
Artificial selection experiments,"['WG Hill', 'A Caballero']",1992,Annual Review of Ecology and …,A knowledge of the magnitude of genetic variability and covariability of quantitative traits in natural populations and an understanding of the action of forces that maintain variation and those that lead to change are fundamental to the study of evolutionary biology. Artificial
Quantitative genetics in natural plant populations: a review of the theory,"['T Mitchell-Olds', 'JJ Rutledge']",1986,The American Naturalist,The methods of quantitative genetics may be useful for quantifying constraints on the rate and direction of response to selection in natural plant populations. We review the assumptions necessary for accurate estimation and significance testing of quantitative
NATURAL SELECTION ON FLORAL TRAITS IN TWO SPECIES OF LOBELIA WITH DIFFERENT POLLINATORS,['MO Johnston'],1991,Evolution,"Using both multivariate and univariate regression techniques, I measured selection acting through female reproductive success in two hermaphroditic species with precise pollen placement but different pollinators: hummingbird‐pollinated Lobelia cardinalis and"
Quantitative genetics in plants: the effect of the breeding system on genetic variability,"['D Charlesworth', 'B Charlesworth']",1995,Evolution,"The expected effects of breeding system on quantitative genetic variation under various models for the maintenance of such variation are examined, with particular emphasis on the contrast between randomly mating and highly self‐fertilizing populations. Estimates of"
Measurement and meaning in biology,"['D Houle', 'C Pélabon', 'GP Wagner']",2011,The quarterly review of …,Measurement—the assignment of numbers to attributes of the natural world—is central to all scientific inference. Measurement theory concerns the relationship between measurements and reality; its goal is ensuring that inferences about measurements reflect the underlying
Measuring selection and constraint in the evolution of growth,"['M Kirkpatrick', 'D Lofsvold']",1992,Evolution,We present a quantitative genetic model for the evolution of growth trajectories that makes no assumptions about the shapes of growth trajectories that are possible. Evolution of a population's mean growth trajectory is governed by the selection gradient function and the
"An integrative view of phylogenetic comparative methods: connections to population genetics, community ecology, and paleobiology","['MW Pennell', 'LJ Harmon']",2013,Annals of the New York Academy of …,"Recent innovations in phylogenetic comparative methods (PCMs) have spurred a renaissance of research into the causes and consequences of large‐scale patterns of biodiversity. In this paper, we review these advances. We also highlight the potential of"
Local adaptation by alleles of small effect,['S Yeaman'],2015,The American Naturalist,"Population genetic models predict that alleles with small selection coefficients may be swamped by migration and will not contribute to local adaptation. But if most alleles contributing to standing variation are of small effect, how does local adaptation proceed"
Expected time for random genetic drift of a population between stable phenotypic states,['R Lande'],1985,Proceedings of the National Academy of …,"Natural selection and random genetic drift are modeled by using diffusion equations for the mean phenotype of a quantitative (polygenic) character in a finite population with two available adaptive zones or ecological niches. When there is appreciable selection, the"
Sexual selection by the handicap mechanism,['JS Heywood'],1989,Evolution,"The handicap mechanism of sexual selection by female choice has been strongly criticized because it does not cause sexual selection to reinforce viability selection and it cannot account for the origin of mating preferences. However, several models indicate that the"
Evolution of mating preference and sexual dimorphism,"['R Lande', 'SJ Arnold']",1985,Journal of Theoretical Biology,"A quantitative genetic model of the joint evolution of female mating preferences and sexual dimorphism in homologous characters of the sexes is described for polygamous species with no male parental effort, such that mating preferences are selectively neutral and evolve"
Evolutionary conservation biology,"['R Ferrière', 'U Dieckmann', 'D Couvet']",2004,NA,"As anthropogenic environmental changes spread and intensify across the planet, conservation biologists have to analyze dynamics at large spatial and temporal scales. Ecological and evolutionary processes are then closely intertwined. In particular"
Sex-linked heritability of a sexually selected character in a natural population of Poecilia reticulata (Pisces: Poeciliidae)(guppies),['AE Houde'],1992,Heredity,"The relative extent of orange-pigmented spots in the colour patterns of male guppies, Poecilia reticulata, has previously been shown to be a basis for female choice. Parent–offspring and half-sib breeding experiments and selection experiments were conducted to"
Dynamics of polygenic characters under selection,"['M Turelli', 'NH Barton']",1990,Theoretical Population Biology,Selection on polygenic characters is generally analyzed by statistical methods that assume a Gaussian (normal) distribution of breeding values. We present an alternative analysis based on multilocus population genetics. We use a general representation of selection
Differentiation of allelic frequencies at quantitative trait loci affecting locally adaptive traits,['RG Latta'],1998,The American Naturalist,"284 The American Naturalist much greater extent than the allelic frequencies them-each population will approach these optimal values, assuming that selection is strong enough to overcome gene selves, such that individual QTLs will show levels of differentiation similar to"
Design and analysis of experiments on random drift and inbreeding depression.,['M Lynch'],1988,Genetics,"While the genetic consequences of inbreeding and small population size are of fundamental importance in many areas of biology, empirical research on these phenomena has proceeded in the absence of a well-developed statistical methodology. The usual approach"
Clines in polygenic traits,['NH Barton'],1999,Genetics Research,"This article outlines theoretical models of clines in additive polygenic traits, which are maintained by stabilizing selection towards a spatially varying optimum. Clines in the trait mean can be accurately predicted, given knowledge of the genetic variance. However"
Natural selection and random genetic drift as causes of evolution on islands,['NH Barton'],1996,… Transactions of the Royal Society of …,The evolutionary processes responsible for adaptation and speciation on islands differ in several ways from those on the mainland. Most attention has been given to the random genetic drift that arises when a population is founded from just a few colonizing genomes
"The genetic correlation between characters maintained by selection, linkage and inbreeding",['R Lande'],1984,Genetics Research,"Mutation is modelled in two quantitative characters under separate genetic control in a large population. A bivariate pattern of selection acts to correlate the characters and, without pleiotropy, their genetic correlation is due entirely to linkage disequilibrium. Data on"
The mutation matrix and the evolution of evolvability,"['AG Jones', 'SJ Arnold', 'R Bürger']",2007,… : International Journal of …,"Evolvability is a key characteristic of any evolving system, and the concept of evolvability serves as a unifying theme in a wide range of disciplines related to evolutionary theory. The field of quantitative genetics provides a framework for the exploration of evolvability with the"
Directional selection and the evolution of sex and recombination,['B Charlesworth'],1993,Genetics Research,"Models of the evolutionary advantages of sex and genetic recombination due to directional selection on a quantitative trait are analysed. The models assume that the trait is controlled by many additive genes. A nor-optimal selection function is used, in which the optimum"
Naturally occurring variation in bristle number and DNA polymorphisms at the scabrous locus of Drosophila melanogaster,"['C Lai', 'RF Lyman', 'AD Long', 'CH Langley']",1994,Science,"The association between quantitative genetic variation in bristle number and molecular variation at a candidate neurogenic locus, scabrous, was examined in Drosophila melanogaster. Approximately 32 percent of the genetic variation in abdominal bristle"
Spontaneous mutations for life‐history characters in an obligate parthenogen,['M Lynch'],1985,Evolution,"By allowing mutations to accumulate spontaneously in different lines derived from a single female of an obligately parthenogenetic Daphnia, it has become possible to estimate the rate at which new genetic variance for life‐history characters arises as well as to identify the"
Distribution of fitness effects caused by random insertion mutations in Escherichia coli,"['SF Elena', 'L Ekunwe', 'N Hajela', 'SA Oden', 'RE Lenski']",1998,Genetica,"Very little is known about the distribution of mutational effects on organismal fitness, despite the fundamental importance of this information for the study of evolution. This lack of information reflects the fact that it is generally difficult to quantify the dynamic effects of"
QUANTITATIVE GENETICS OF MORPHOLOGICAL DIFFERENTIATION IN PEROMYSCUS. I. TESTS OF THE HOMOGENEITY OF GENETIC COVARIANCE …,['D Lofsvold'],1986,Evolution,"Phenotypic and additive genetic covariance matrices were estimated for 15 morphometric characters in three species and subspecies of Peromyscus. Univariate and multivariate ANOVAs indicate these groups are highly diverged in all characters, P. leucopus having the"
Spontaneous Mutational Effects on Reproductive Traits of Arabidopsis thaliana,"['RG Shaw', 'DL Byers', 'E Darmo']",2000,Genetics,"A study of spontaneous mutation in Arabidopsis thaliana was initiated from a single inbred Columbia founder; 120 lines were established and advanced 17 generations by single-seed descent. Here, we report an assay of reproductive traits in a random set of 40 lines from"
Evolution of genetic variability and the advantage of sex and recombination in changing environments,['R Bürger'],1999,Genetics,"The role of recombination and sexual reproduction in enhancing adaptation and population persistence in temporally varying environments is investigated on the basis of a quantitative-genetic multilocus model. Populations are finite, subject to density-dependent regulation"
Rapid evolution of quantitative traits: theoretical perspectives,"['M Kopp', 'S Matuszewski']",2014,Evolutionary Applications,"An increasing number of studies demonstrate phenotypic and genetic changes in natural populations that are subject to climate change, and there is hope that some of these changes will contribute to avoiding species extinctions ('evolutionary rescue'). Here, we"
Evolutionary speed of species invasions,"['G García-Ramos', 'D Rodríguez']",2002,Evolution,Successful invasion may depend of the capacity of a species to adjust genetically to a spatially varying environment. This research modeled a species invasion by examining the interaction between a quantitative genetic trait and population density. It assumed:(1) a
The maintenance of polygenic variation through a balance between mutation and stabilizing selection,['NH Barton'],1986,Genetics Research,"The maintenance of polygenic variation through a balance between mutation and stabilizing selection can be approximated in two ways. In the 'Gaussian'approximation, a normal distribution of allelic effects is assumed at each locus. In the 'House of Cards' approximation"
SEXUAL SELECTION IN THE MONOGAMOUS BARN SWALLOW (HIRUNDO RUSTICA). I. DETERMINANTS OF TAIL ORNAMENT SIZE,['AP Møller'],1991,Evolution,The proportion of phenotypic variance in the length of the sexually selected tail of the monogamous barn swallow Hirundo rustica that is attributable to genetic variance was studied in the field in Denmark during a seven‐year period. Tail length was on average 20
Effects of single P-element insertions on bristle number and viability in Drosophila melanogaster,"['RF Lyman', 'F Lawrence', 'SV Nuzhdin', 'TFC Mackay']",1996,Genetics,Single P-element mutagenesis was used to construct 1094 lines with P [lArB] inserts on all three major chromosomes in an isogenic background previously free of P elements. The effects of insertions on bristle number and on viability were assessed by comparison to 392
Comparative evolutionary genetics of spontaneous mutations affecting fitness in rhabditid nematodes,"['CF Baer', 'F Shaw', 'C Steding']",2005,Proceedings of the …,"Deleterious mutations are of fundamental importance to all aspects of organismal biology. Evolutionary geneticists have expended tremendous effort to estimate the genome-wide rate of mutation and the effects of new mutations on fitness, but the degree to which genomic"
Female choice and the heritability of attractive male traits: an empirical study,['AV Hedrick'],1988,The American Naturalist,"Many authors have hypothesized that in mating systems in which males do not offer resources or parental care to their mates and/or offspring, female choice is based on heritable male traits. Although the validity of this hypothesis has been questioned on"
"The population genetics of mutations: good, bad and indifferent","['L Loewe', 'WG Hill']",2010,NA,"Population genetics is fundamental to our understanding of evolution, and mutations are essential raw materials for evolution. In this introduction to more detailed papers that follow, we aim to provide an oversight of the field. We review current knowledge on mutation rates"
Limited evolutionary rescue of locally adapted populations facing climate change,"['K Schiffers', 'EC Bourne', 'S Lavergne']",2013,… of the Royal …,"Dispersal is a key determinant of a population's evolutionary potential. It facilitates the propagation of beneficial alleles throughout the distributional range of spatially outspread populations and increases the speed of adaptation. However, when habitat is"
Pleiotropy and the preservation of perfection,"['D Waxman', 'JR Peck']",1998,Science,"A mathematical model is presented in which a single mutation can affect multiple phenotypic characters, each of which is subject to stabilizing selection. A wide range of mutations is allowed, including ones that produce extremely small phenotypic changes. The analysis"
Predictable patterns of disruptive selection in stickleback in postglacial lakes,"['DI Bolnick', 'OL Lau']",2008,The American Naturalist,"Disruptive selection is often assumed to be relatively rare, because it is dynamically unstable and hence should be transient. However, frequency-dependent interactions such as intraspecific competition may stabilize fitness minima and make disruptive selection more"
How much heritable variation can be maintained in finite populations by mutation–selection balance?,"['R Bürger', 'GP Wagner', 'F Stettinger']",1989,Evolution,"The joint effects of stabilizing selection, mutation, recombination, and random drift on the genetic variability of a polygenic character in a finite population are investigated. A simulation study is performed to test the validity of various analytical predictions on the"
