title,author,pub_year,counts
Phenotypic evolution by neutral mutation,"['M Lynch', 'WG Hill']",1986.0,3
Assortative mating can help adaptation of flowering time to a changing climate: Insights from a polygenic model,"['C Godineau', 'O Ronce', 'C Devaux']",2021.0,2
Polygenic adaptation after a sudden change in environment,"['LK Hayward', 'G Sella']",2021.0,2
Structural properties of generalised Planck distributions,['AG Pakes'],2021.0,2
"Evolution of specialization in heterogeneous environments: equilibrium between selection, mutation and migration","['S Mirrahimi', 'S Gandon']",2020.0,2
Evolutionary dynamics of neutral phenotypes under DNA substitution models,"['S Zabad', 'AM Moses']",2020.0,2
"Evolutionary perspectives on polygenic selection, missing heritability, and GWAS",['LH Uricchio'],2020.0,2
Low additive genetic variation in a trait under selection in domesticated rice,"['NG Karavolias', 'AJ Greenberg']",2020.0,2
Pleiotropy or linkage? Their relative contributions to the genetic correlation of quantitative traits and detection by multi-trait GWA studies,"['J Chebib', 'F Guillaume']",2020.0,2
Compensatory trans‐regulatory alleles minimizing variation in TDH3 expression are common within Saccharomyces cerevisiae,"['BPH Metzger', 'PJ Wittkopp']",2019.0,2
Complex polymorphic genetic architecture underlies trans-regulatory variation among strains of Saccharomyces cerevisiae,"['BPH Metzger', 'PJ Wittkopp']",2019.0,2
Genetic basis of adaptation and maladaptation via balancing selection,"['MK Gupta', 'R Vadde']",2019.0,2
Polygenic adaptation to an environmental shift: temporal dynamics of variation under Gaussian stabilizing selection and additive effects on a single trait,['KR Thornton'],2019.0,2
A population genetic interpretation of GWAS findings for human quantitative traits,"['YB Simons', 'K Bullaughey', 'RR Hudson', 'G Sella']",2018.0,2
Effect of migration and environmental heterogeneity on the maintenance of quantitative genetic variation: a simulation study,"['TK McDonald', 'S Yeaman']",2018.0,2
"Effects of partial selfing on the equilibrium genetic variance, mutation load, and inbreeding depression under stabilizing selection","['D Abu Awad', 'D Roze']",2018.0,2
Gene Regulation and the Genomic Basis of Speciation and Adaptation in House Mice (Mus musculus),['KL Mack'],2018.0,2
Gene-based Dominance and Stabilizing Selection on Human Complex Traits,['JS Sanjak'],2018.0,2
Genetic architecture and selective sweeps after polygenic adaptation to distant trait optima,"['MG Stetter', 'K Thornton', 'J Ross-Ibarra']",2018.0,2
Phylogenetic divergence of cell biological features,['M Lynch'],2018.0,2
The Evolution of Gene Regulatory Networks,['JS Schiffman'],2018.0,2
"A model of compound heterozygous, loss-of-function alleles is broadly consistent with observations from complex-disease GWAS datasets","['JS Sanjak', 'AD Long', 'KR Thornton']",2017.0,2
Darwinism for the genomic age: connecting mutation to diversification,"['X Hua', 'L Bromham']",2017.0,2
Effect of migration and environmental heterogeneity on the maintenance of quantitative variation: a simulation study,"['TK McDonald', 'S Yeaman']",2017.0,2
Gene regulation and speciation,"['KL Mack', 'MW Nachman']",2017.0,2
Modes of rapid polygenic adaptation,"['K Jain', 'W Stephan']",2017.0,2
Mutation predicts 40 million years of fly wing evolution,"['D Houle', 'GH Bolstad', 'K van der Linde', 'TF Hansen']",2017.0,2
System drift and speciation,"['JS Schiffman', 'PL Ralph']",2017.0,2
Mutation Is a Sufficient and Robust Predictor of Genetic Variation for Mitotic Spindle Traits in Caenorhabditis elegans,"['R Farhadifar', 'JM Ponciano', 'EC Andersen']",2016.0,2
Spontaneous mutations and the origin and maintenance of quantitative genetic variation,"['W Huang', 'RF Lyman', 'RA Lyman', 'MA Carbone']",2016.0,2
The genetic architecture of a complex trait is more sensitive to genetic model than population growth,"['JS Sanjak', 'AD Long', 'KR Thornton']",2016.0,2
The nonstationary dynamics of fitness distributions: asexual model with epistasis and standing variation,"['G Martin', 'L Roques']",2016.0,2
Limits to adaptation along environmental gradients,"['J Polechová', 'NH Barton']",2015.0,2
"Maintenance of quantitative genetic variance under partial self-fertilization, with implications for evolution of selfing","['R Lande', 'E Porcher']",2015.0,2
Model adequacy and the macroevolution of angiosperm functional traits,"['MW Pennell', 'RG FitzJohn', 'WK Cornwell']",2015.0,2
Response of polygenic traits under stabilizing selection and mutation when loci have unequal effects,"['K Jain', 'W Stephan']",2015.0,2
Simultaneous Estimation of Additive and Mutational Genetic Variance in an Outbred Population of Drosophila serrata,"['K McGuigan', 'JD Aguirre', 'MW Blows']",2015.0,2
A two-locus model of spatially varying stabilizing or directional selection on a quantitative trait,"['L Geroldinger', 'R Bürger']",2014.0,2
Adaptive evolution of molecular phenotypes,"['T Held', 'A Nourmohammad']",2014.0,2
Adaptive fixation in two-locus models of stabilizing selection and genetic drift,"['A Wollstein', 'W Stephan']",2014.0,2
"Epistasis, pleiotropy, and the mutation load in sexual and asexual populations","['D Roze', 'A Blanckaert']",2014.0,2
"Evolutionary insights into global patterns of human cranial diversity: population history, climatic and dietary effects",['N von Cramon-Taubadel'],2014.0,2
Rapid evolution of quantitative traits: theoretical perspectives,"['M Kopp', 'S Matuszewski']",2014.0,2
Asymptotics of steady states of a selection–mutation equation for small mutation rate,"['À Calsina', 'S Cuadrado', 'L Desvillettes']",2013.0,2
Joint allelic effects on fitness and metric traits,"['K McGuigan', 'MW Blows']",2013.0,2
Q ST–F ST comparisons: evolutionary and ecological insights from genomic heterogeneity,"['T Leinonen', 'RJS McCairns', ""RB O'hara""]",2013.0,2
"Stabilizing selection, purifying selection, and mutational bias in finite populations",['B Charlesworth'],2013.0,2
The evolution of canalization and evolvability in stable and fluctuating environments,"['A Le Rouzic', 'JM Álvarez-Castro', 'TF Hansen']",2013.0,2
Comparative studies of gene expression and the evolution of gene regulation,"['IG Romero', 'I Ruvinsky', 'Y Gilad']",2012.0,2
Epistasis can increase multivariate trait diversity in haploid non-recombining populations,"['CK Griswold', 'TA Henry']",2012.0,2
Quantitative Genetics and Evolution,['R BURGER'],2012.0,2
Heritability is not evolvability,"['TF Hansen', 'C Pélabon', 'D Houle']",2011.0,2
The genetics of speciation: genes of small effect underlie sexual isolation in the Hawaiian cricket Laupala,"['CK Ellison', 'C Wiley', 'KL Shaw']",2011.0,2
Apparent directional selection by biased pleiotropic mutation,['Y Tanaka'],2010.0,2
Regeneration of the variance of metric traits by spontaneous mutation in a Drosophila population,"['C Amador', 'A García-Dorado', 'D Bersabé']",2010.0,2
Standing variation and new mutations both contribute to a fast response to selection for flowering time in maize inbreds,"['E Durand', 'MI Tenaillon', 'C Ridel']",2010.0,2
"The population genetics of mutations: good, bad and indifferent","['L Loewe', 'WG Hill']",2010.0,2
What animal breeding has taught us about evolution,"['WG Hill', 'M Kirkpatrick']",2010.0,2
Analysis and implications of mutational variation,"['PD Keightley', 'DL Halligan']",2009.0,2
Comparing Mutational and Standing Genetic Variability for Fitness and Size in Caenorhabditis briggsae and C. elegans,"['MP Salomon', 'D Ostrow', 'N Phillips', 'D Blanton', 'W Bour']",2009.0,2
Species' range: adaptation in space and time,"['J Polechová', 'N Barton', 'G Marion']",2009.0,2
Statistical mechanics and the evolution of polygenic quantitative traits,"['NH Barton', 'HP de Vladar']",2009.0,2
The mermaid's tale: four billion years of cooperation in the making of living things,"['KM Weiss', 'AV Buchanan']",2009.0,2
Theoretical characterization of a model of aragonite crystal orientation in red abalone nacre,"['SN Coppersmith', 'P Gilbert']",2009.0,2
Which cranial regions reflect molecular distances reliably in humans? Evidence from three‐dimensional morphology,['HF Smith'],2009.0,2
"Adaptation to slow environmental change, with apparent anticipation of selection","['M Sato', 'D Waxman']",2008.0,2
Close correspondence between quantitative-and molecular-genetic divergence times for Neandertals and modern humans,"['TD Weaver', 'CC Roseman']",2008.0,2
"Detection of “punctuated equilibrium” by Bayesian estimation of speciation and extinction rates, ancestral character states, and rates of anagenetic and cladogenetic …",['F Bokma'],2008.0,2
Effects of spontaneous mutation accumulation on sex ratio traits in a parasitoid wasp,"['BA Pannebakker', 'DL Halligan']",2008.0,2
Evaluating the role of natural selection in the evolution of gene regulation,"['JC Fay', 'PJ Wittkopp']",2008.0,2
Extant mammal body masses suggest punctuated equilibrium,"['TM Mattila', 'F Bokma']",2008.0,2
"Incipient allochronic speciation due to non-selective assortative mating by flowering time, mutation and genetic drift","['C Devaux', 'R Lande']",2008.0,2
Increase in Quantitative Variation After Exposure to Environmental Stresses and/or Introduction of a Major Mutation: G × E Interaction and Epistasis or Canalization?,['XS Zhang'],2008.0,2
MIPoD: a hypothesis-testing framework for microevolutionary inference from patterns of divergence,"['PA Hohenlohe', 'SJ Arnold']",2008.0,2
The anomalous effects of biased mutation revisited: Mean–optimum deviation and apparent directional selection under stabilizing selection,"['XS Zhang', 'WG Hill']",2008.0,2
Molecules versus morphology? Not for the human cranium,"['CC Roseman', 'TD Weaver']",2007.0,2
Neutral evolution of multiple quantitative characters: a genealogical approach,"['CK Griswold', 'B Logsdon', 'R Gomulkiewicz']",2007.0,2
Novel Studies of Spontaneous Mutation: Measurements of Fitness in the Field and Gene Expression in the Lab,['AJ Roles'],2007.0,2
Resolving the paradox of stasis: models with stabilizing selection explain evolutionary divergence on all timescales,"['S Estes', 'SJ Arnold']",2007.0,2
The frailty of adaptive hypotheses for the origins of organismal complexity,['M Lynch'],2007.0,2
The stochastic model of non-equilibrium mutagen-induced alterations of DNA: Implication to genetic instability in cancer,"['D Triampo', 'W Triampo', 'IM Tang', 'Y Lenbury']",2007.0,2
Were neandertal and modern human cranial differences produced by natural selection or genetic drift?,"['TD Weaver', 'CC Roseman', 'CB Stringer']",2007.0,2
A finite locus effect diffusion model for the evolution of a quantitative trait,"['JR Miller', 'MC Pugh', 'MB Hamilton']",2006.0,2
Ecological and reproductive character displacement of an environmental gradient,"['EE Goldberg', 'R Lande']",2006.0,2
Gene Action of New Mutations in Arabidopsis thaliana,"['RG Shaw', 'SM Chang']",2006.0,2
"Geographical variation in selection, from phenotypes to molecules",['JK Kelly'],2006.0,2
Limits to the adaptive potential of small populations,"['Y Willi', 'J Van Buskirk']",2006.0,2
Natural selection on gene expression,"['Y Gilad', 'A Oshlack', 'SA Rifkin']",2006.0,2
Near-periodic substitution and the genetic variance induced by environmental change,"['Y Bello', 'D Waxman']",2006.0,2
The frequency of the perfect genotype in a population subject to pleiotropic mutation,"['D Waxman', 'JR Peck']",2006.0,2
Uncovering evolutionary patterns of gene expression using microarrays,"['JM Ranz', 'CA Machado']",2006.0,2
20 questions on adaptive dynamics,"['D Waxman', 'S Gavrilets']",2005.0,2
A generalized model of mutation–selection balance with applications to aging,"['D Steinsaltz', 'SN Evans', 'KW Wachter']",2005.0,2
Implications of long tails in the distribution of mutant effects,"['D Waxman', 'J Feng']",2005.0,2
Predictions of patterns of response to artificial selection in lines derived from natural populations,"['XS Zhang', 'WG Hill']",2005.0,2
"Rates of divergence in gene expression profiles of primates, mice, and flies: stabilizing selection and variability among functional categories","['B Lemos', 'CD Meiklejohn', 'M Cáceres', 'DL Hartl']",2005.0,2
THE CONTRIBUTION OF SPONTANEOUS MUTATION TO VARIATION IN ENVIRONMENTAL RESPONSES OF ARABIDOPSIS THALIANA: RESPONSES TO LIGHT,"['CM Kavanaugh', 'RG Shaw']",2005.0,2
Theoretical evolutionary genetics joseph felsenstein,['J Felsenstein'],2005.0,2
Toward a neutral evolutionary model of gene expression,"['P Khaitovich', 'S Pääbo', 'G Weiss']",2005.0,2
A neutral model of transcriptome evolution,"['P Khaitovich', 'G Weiss', 'M Lachmann', 'I Hellmann']",2004.0,2
"A one locus, biased mutation model and its equivalence to an unbiased model","['D Waxman', 'JR Peck']",2004.0,2
"Influence of dominance, leptokurtosis and pleiotropy of deleterious mutations on quantitative genetic variation at mutation-selection balance","['XS Zhang', 'J Wang', 'WG Hill']",2004.0,2
Mutation Accumulation in Populations of Varying Size: The Distribution of Mutational Effects for Fitness Correlates in Caenorhabditis elegans,"['S Estes', 'PC Phillips', 'DR Denver', 'WK Thomas']",2004.0,2
Mutational variation and long-term selection response,['PD Keightley'],2004.0,2
"Polygenic Variation Maintained by Balancing Selection: Pleiotropy, Sex-Dependent Allelic Effects and G × E Interactions","['M Turelli', 'NH Barton']",2004.0,2
Correlated evolution of life-history with size at maturity in Daphnia pulicaria: patterns within and between populations,"['CF Baer', 'M Lynch']",2003.0,2
Epistasis in polygenic traits and the evolution of genetic architecture under stabilizing selection,"['J Hermisson', 'TF Hansen']",2003.0,2
Evolution of gene expression in the Drosophila melanogaster subgroup,"['SA Rifkin', 'J Kim', 'KP White']",2003.0,2
Evolutionary genetics and statistical genomics of quantitative characters,['P Narain'],2003.0,2
Genetic constraints on the evolution of mate recognition under natural selection,"['MW Blows', 'M Higgie']",2003.0,2
Multivariate stabilizing selection and pleiotropy in the maintenance of quantitative genetic variation,"['XS Zhang', 'WG Hill']",2003.0,2
Numerical and exact solutions for continuum of alleles models,['D Waxman'],2003.0,2
Rapid evolution of male-biased gene expression in Drosophila,"['CD Meiklejohn', 'J Parsch', 'JM Ranz']",2003.0,2
Scaling of mutational effects in models for pleiotropy,"['NS Wingreen', 'J Miller', 'EC Cox']",2003.0,2
The anomalous effects of biased mutation,"['D Waxman', 'JR Peck']",2003.0,2
"The balance between pleiotropic mutation and selection, when alleles have discrete effects",['D Waxman'],2003.0,2
Contrasting patterns of divergence in quantitative traits and neutral DNA markers: analysis of clinal variation,['JF Storz'],2002.0,2
Detection of punctuated equilibrium from molecular phylogenies,['F Bokma'],2002.0,2
Joint effects of pleiotropic selection and stabilizing selection on the maintenance of quantitative genetic variation at mutation-selection balance,"['XS Zhang', 'WG Hill']",2002.0,2
Microevolution in island forms: the roles of drift and directional selection in morphological divergence of a passerine bird,"['SM Clegg', 'SM Degnan', 'C Moritz', 'A Estoup']",2002.0,2
Nonequivalent loci and the distribution of mutant effects,"['JJ Welch', 'D Waxman']",2002.0,2
"Quantitative characters, phylogenies, and morphometrics",['J Felsenstein'],2002.0,2
Spontaneous Mutational Variation for Body Size in Caenorhabditis elegans,"['RBR Azevedo', 'PD Keightley', 'C Laurén-Määttä']",2002.0,2
"A comparison of phenotypic variation and covariation patterns and the role of phylogeny, ecology, and ontogeny during cranial evolution of New World monkeys","['G Marroig', 'JM Cheverud']",2001.0,2
Comparison of genetic differentiation at marker loci and quantitative traits,"['J Merilä', 'P Crnokrak']",2001.0,2
Demographic and evolutionary responses to selective harvesting in populations with discrete generations,"['S Ratner', 'R Lande']",2001.0,2
Dynamics of a multilocus trait,['D Waxman'],2001.0,2
Is self‐fertilization an evolutionary dead end? Revisiting an old hypothesis with genetic theories and a macroevolutionary approach,"['N Takebayashi', 'PL Morrell']",2001.0,2
Modeling genetic architecture: a multilinear theory of gene interaction,"['TF Hansen', 'GP Wagner']",2001.0,2
The outcome of evolution when mutations are highly pleiotropic,"['D Waxman', 'JR Peck']",2001.0,2
Genetic diversity–conservation and assessment,['P Narain'],2000.0,2
Predicting long-term response to selection,['JP REEVE'],2000.0,2
Properties of mutations affecting life history traits in Caenorhabditis Elegans,['EK Davies'],2000.0,2
Quantitative genetic models for the balance between migration and stabilizing selection,['J Tufto'],2000.0,2
"Self-fertilization, genetic associations, and genetic architecture: understanding the components of mating-system evolution",['N Takebayashi'],2000.0,2
The ecology of adaptive radiation,['D Schluter'],2000.0,2
The evolution of genetic canalization under fluctuating selection,['TJ Kawecki'],2000.0,2
The evolution of the G matrix: selection or drift?,['D Roff'],2000.0,2
Variability in centred house-of-cards mutation models,"['S MAHDI', 'S LESSARD']",2000.0,2
A dynamical theory of speciation on holey adaptive landscapes,['S Gavrilets'],1999.0,2
"Analysis of a population genetics model with mutation, selection, and pleiotropy","['SN Coppersmith', 'RD Blank', 'LP Kadanoff']",1999.0,2
Genetic variation maintained in multilocus models of additive quantitative traits under stabilizing selection,"['R Bürger', 'A Gimelfarb']",1999.0,2
Neutral additive genetic variance in a metapopulation,['MC Whitlock'],1999.0,2
On the maintenance of polygenic variance in a migrating population,"['L da Silva', 'C Tsallis']",1999.0,2
Understanding intrapopulation variation in the mating behavior of a field cricket,['SM Bertram'],1999.0,2
A mathematical model for long-term patterns of evolution: effects of environmental stability and instability on macroevolutionary patterns and mass extinctions,['S Chiba'],1998.0,2
Age-specific properties of spontaneous mutations affecting mortality in Drosophila melanogaster,"['SD Pletcher', 'D Houle', 'JW Curtsinger']",1998.0,2
Complexity matters,['G Wagner'],1998.0,2
Fixing mismatches,"['M Shannon', 'M Weigert']",1998.0,2
Genetic basis of response to 50 generations of selection on body weight in inbred mice,['PD Keightley'],1998.0,2
Pleiotropy and the preservation of perfection,"['D Waxman', 'JR Peck']",1998.0,2
Quantitative genetics of ovariole number in Drosophila melanogaster. II. Mutational variation and genotype-environment interaction,"['ML Wayne', 'TFC Mackay']",1998.0,2
Testing natural selection vs. genetic drift in phenotypic evolution using quantitative trait locus data,['HA Orr'],1998.0,2
A population genetic theory of canalization,"['GP Wagner', 'G Booth', 'H Bagheri‐Chaichian']",1997.0,2
Adaptation and extinction in changing environments,"['R Bürger', 'M Lynch']",1997.0,2
Adaptive inertia caused by hidden pleiotropic effects,"['M Baatz', 'GP Wagner']",1997.0,2
Consequences of gene flow in spatially structured populations,['KA Lythgoe'],1997.0,2
Evolutionary stability under the replicator and the gradient dynamics,"['P Taylor', 'T Day']",1997.0,2
Identifying units of selection: conceptual and methodological issues,['MD Laubichler'],1997.0,2
Quantitative genetic variance maintained by fluctuating selection with overlapping generations: variance components and covariances,"['A Sasaki', 'S Ellner']",1997.0,2
A quantitative genetic model of group selection,['Y Tanaka'],1996.0,2
Causes of covariation of phenotypic traits among populations,"['WS Armbruster', 'KE Schwaegerle']",1996.0,2
High genetic variability under the balance between symmetric mutation and fluctuating stabilizing selection,"['AS Kondrashov', 'LY Yampolsky']",1996.0,2
Maintenance of polygenic variation via a migration-selection balance under uniform selection,['PC Phillips'],1996.0,2
Perspective: complex adaptations and the evolution of evolvability,"['GP Wagner', 'L Altenberg']",1996.0,2
Pleiotropy as a factor maintaining genetic variation in quantitative characters under stabilizing selection,['A Gimelfarb'],1996.0,2
STABILIZING SELECTION DETECTED FOR BRISTLE NUMBER IN DROSOPHILA MELANOGASTER,"['A García‐Dorado', 'JA González']",1996.0,2
Stationary distributions under mutation-selection balance: structure and properties,"['R Bürger', 'IM Bomze']",1996.0,2
Translating between microevolutionary process and macroevolutionary patterns: the correlation structure of interspecific data,"['TF Hansen', 'EP Martins']",1996.0,2
Polygenic mutation in Drosophila melanogaster: non-linear divergence among unselected strains.,"['TF Mackay', 'RF Lyman', 'WG Hill']",1995.0,2
Quantitative genetics in plants: the effect of the breeding system on genetic variability,"['D Charlesworth', 'B Charlesworth']",1995.0,2
Spontaneous mutation rate of modifiers of metabolism in Drosophila.,"['AG Clark', 'L Wang', 'T Hulleberg']",1995.0,2
The evolution of bird coloration and plumage elaboration,['UM Savalli'],1995.0,2
A neutrality test for continuous characters based on levels of intraspecific variation and interspecific divergence,['AG Clark'],1994.0,2
Ionizing radiation and genetic risks. V. Multifactorial diseases: a review of epidemiological and genetic aspects of congenital abnormalities in man and of models on …,"['K Sankaranarayanan', 'N Yasuda', 'R Chakraborty']",1994.0,2
"Models of sexual selection in hermaphrodites, especially plants",['MT Morgan'],1994.0,2
Naturally occurring variation in bristle number and DNA polymorphisms at the scabrous locus of Drosophila melanogaster,"['C Lai', 'RF Lyman', 'AD Long', 'CH Langley']",1994.0,2
On the distribution of the mean and variance of a quantitative trait under mutation-selection-drift balance.,"['R Bürger', 'R Lande']",1994.0,2
Evolution of resistance to high temperature in ectotherms,"['RB Huey', 'JG Kingsolver']",1993.0,2
House mice as models in systematic biology,"['RD Sage', 'WR Atchley', 'E Capanna']",1993.0,2
Mutation models and quantitative genetic variation.,"['ZB Zeng', 'CC Cockerham']",1993.0,2
Population structure in Daphnia obtusa: quantitative genetic and allozymic variation.,['K Spitze'],1993.0,2
Artificial selection experiments,"['WG Hill', 'A Caballero']",1992.0,2
Constraints on phenotypic evolution,['SJ Arnold'],1992.0,2
Effects of P element insertions on quantitative traits in Drosophila melanogaster.,"['TF Mackay', 'RF Lyman', 'MS Jackson']",1992.0,2
Maintenance of polygenic variation in spatially structured populations: roles for local mating and genetic redundancy,"['DB Goldstein', 'KE Holsinger']",1992.0,2
Measuring selection and constraint in the evolution of growth,"['M Kirkpatrick', 'D Lofsvold']",1992.0,2
On the difference between mean and optimum of quantitative characters under selection,"['LA Zhivotovsky', 'MW Feldman']",1992.0,2
Quantitative variability and multilocus polymorphism under epistatic selection,"['LA Zhivotovsky', 'S Gavrilets']",1992.0,2
The measurement of selection on quantitative traits: biases due to environmental covariances between traits and fitness,['MD Rausher'],1992.0,2
The population dynamics of a hybrid zone in the alpine grasshopper Podisma pedestris: An ecological and genetic investigation,['KS Jackson'],1992.0,2
Variance component analysis of bristle characters in local populations of Drosophila melanogaster,"['M Ichinose', 'H Tachida', 'T Mukai']",1992.0,2
"EVOLUTION, PHYLOGENY, SEXUAL DIMORPHISM AND MATING SYSTEM IN THE GRACKLES (QUISCALUS SPP.: ICTERINAE)",['M Björklund'],1991.0,2
MORPHOMETRIC VARIABILITY IN CONTINENTAL AND ATLANTIC ISLAND POPULATIONS OF CHAFFINCHES (FRINGILLA COELEBS),"['MD Dennison', 'AJ Baker']",1991.0,2
Mutation-selection balance and metabolic control theory.,['AG Clark'],1991.0,2
NATURAL SELECTION ON FLORAL TRAITS IN TWO SPECIES OF LOBELIA WITH DIFFERENT POLLINATORS,['MO Johnston'],1991.0,2
Natural and sexual selection on many loci.,"['NH Barton', 'M Turelli']",1991.0,2
Maintenance of polygenic variation through mutation-selection balance: bifurcation analysis of a biallelic model,['A Hastings'],1990.0,2
Quantitative traits and population structure: Introduction,"['S Williams-Blangero', 'J Blangero', 'B Towne']",1990.0,2
