title,author,pub_year,counts
Mutation and conflicts between artificial and natural selection for quantitative traits,"['WG Hill', 'SH Mbaga']",1998.0,3
Polygenic mutation in Drosophila melanogaster: genotype× environment interaction for spontaneous mutations affecting bristle number,"['TFC Mackay', 'RF Lyman']",1998.0,3
Quantitative genetics of ovariole number in Drosophila melanogaster. II. Mutational variation and genotype-environment interaction,"['ML Wayne', 'TFC Mackay']",1998.0,3
Adaptation and extinction in changing environments,"['R Bürger', 'M Lynch']",1997.0,3
Stabilizing selection and the comparative analysis of adaptation,['TF Hansen'],1997.0,3
Causes of covariation of phenotypic traits among populations,"['WS Armbruster', 'KE Schwaegerle']",1996.0,3
Good genes and direct selection in the evolution of mating preferences,['M Kirkpatrick'],1996.0,3
Translating between microevolutionary process and macroevolutionary patterns: the correlation structure of interspecific data,"['TF Hansen', 'EP Martins']",1996.0,3
A quantitative-genetic perspective on conservation issues,['M Lynch'],1995.0,3
Evolution and extinction in a changing environment: a quantitative‐genetic analysis,"['R Bürger', 'M Lynch']",1995.0,3
"Models of sexual selection in hermaphrodites, especially plants",['MT Morgan'],1994.0,3
Accounting for bias in estimates of the rate of polygenic mutation,"['PD Keightley', 'TFC Mackay']",1993.0,3
Evolutionary models of quantitative disease risk factors,"['A Connor', 'KM Weiss', 'SC Weeks']",1993.0,3
Population structure in Daphnia obtusa: quantitative genetic and allozymic variation.,['K Spitze'],1993.0,3
Measuring selection and constraint in the evolution of growth,"['M Kirkpatrick', 'D Lofsvold']",1992.0,3
POLYGENIC MUTATION IN DROSOPHILA MELANOGASTER: ESTIMATES FROM DIVERGENCE AMONG INBRED STRAINS,"['TFC Mackay', 'RF Lyman', 'MS Jackson', 'C Terzian']",1992.0,3
The evolution of traits influencing male and female fertility in outcrossing plants,['MT Morgan'],1992.0,3
The measurement of selection on quantitative traits: biases due to environmental covariances between traits and fitness,['MD Rausher'],1992.0,3
"EVOLUTION, PHYLOGENY, SEXUAL DIMORPHISM AND MATING SYSTEM IN THE GRACKLES (QUISCALUS SPP.: ICTERINAE)",['M Björklund'],1991.0,3
NATURAL SELECTION ON FLORAL TRAITS IN TWO SPECIES OF LOBELIA WITH DIFFERENT POLLINATORS,['MO Johnston'],1991.0,3
Distribution of effects of new mutations affecting quantitative traits,['TFC Mackay'],1990.0,3
Dynamics of polygenic characters under selection,"['M Turelli', 'NH Barton']",1990.0,3
Quantitative genetic variation induced by P transposable elements in Drosophila melanogaster,['C Lai'],1990.0,3
Quantitative traits in relation to population structure: why and how are they used and what do they imply?,['R Chakraborty'],1990.0,3
How much heritable variation can be maintained in finite populations by mutation–selection balance?,"['R Bürger', 'GP Wagner', 'F Stettinger']",1989.0,3
Visualizing multivariate selection,"['PC Phillips', 'SJ Arnold']",1989.0,3
Free fitness that always increases in evolution,['Y Iwasa'],1988.0,3
"Phenotypic evolution, constant covariances, and the maintenance of additive variance",['M Turelli'],1988.0,3
Phylogenies and quantitative characters,['J Felsenstein'],1988.0,3
The divergence of neutral quantitative characters among partially isolated populations,['M Lynch'],1988.0,3
Genetic differentiation of quantitative characters between populations or species II: optimal selection in infinite populations,"['P Narain', 'R Chakraborty']",1987.0,3
Constraints for the evolution of functionally coupled characters: a nonlinear analysis of a phenotypic model,['R Bürger'],1986.0,3
QUANTITATIVE GENETICS OF MORPHOLOGICAL DIFFERENTIATION IN PEROMYSCUS. I. TESTS OF THE HOMOGENEITY OF GENETIC COVARIANCE …,['D Lofsvold'],1986.0,3
Expected time for random genetic drift of a population between stable phenotypic states,['R Lande'],1985.0,3
Genotype‐environment interaction and the evolution of phenotypic plasticity,"['S Via', 'R Lande']",1985.0,3
Genetic variation underlying sexual behavior and reproduction,['WH Cade'],1984.0,3
The cost of phenotypic evolution,['B Charlesworth'],1984.0,3
"The genetic correlation between characters maintained by selection, linkage and inbreeding",['R Lande'],1984.0,3
"Behavioral variation in natural populations. I. Phenotypic, genetic and environmental correlations between chemoreceptive responses to prey in the garter snake …",['SJ Arnold'],1981.0,3
Assortative mating can help adaptation of flowering time to a changing climate: Insights from a polygenic model,"['C Godineau', 'O Ronce', 'C Devaux']",2021.0,2
Evolution of the preformative molt in Cardinalidae correlates with transitions from forest to open habitats,"['S Guallar', 'R Rueda-Hernández', 'P Pyle']",2021.0,2
On the effect of asymmetrical trait inheritance on models of trait evolution,"['P Duchen', 'ML Alfaro', 'J Rolland', 'N Salamin']",2021.0,2
Polygenic adaptation after a sudden change in environment,"['LK Hayward', 'G Sella']",2021.0,2
Population genetics,['MB Hamilton'],2021.0,2
Beyond Brownian motion and the Ornstein-Uhlenbeck process: Stochastic diffusion models for the evolution of quantitative characters,"['SP Blomberg', 'SI Rathnayake']",2020.0,2
Diversification in evolutionary arenas—Assessment and synthesis,"['NM Nürk', 'HP Linder', 'RE Onstein']",2020.0,2
Does evolvability predict evolutionary divergence?,['A Holstad'],2020.0,2
Interplay between high drift-high selection limits the genetic load in small selfing maize populations,"['A Desbiez-Piat', 'A Le Rouzic', 'MI Tenaillon', 'C Dillmann']",2020.0,2
Linking micro and macroevolution in the presence of migration,"['P Duchen', 'S Hautphenne', 'L Lehmann']",2020.0,2
Phylogenetic Comparative Methods: A User's Guide for Paleontologists,"['L Soul', 'D Wright']",2020.0,2
Predation risk shapes the degree of placentation in natural populations of live‐bearing fish,"['A Hagmayer', 'AI Furness', 'DN Reznick']",2020.0,2
Drift and Directional Selection Are the Evolutionary Forces Driving Gene Expression Divergence in Eye and Brain Tissue of Heliconius Butterflies,"['A Catalán', 'AD Briscoe', 'S Höhna']",2019.0,2
"How frequency‐dependent selection affects population fitness, maladaptation and evolutionary rescue","['EI Svensson', 'T Connallon']",2019.0,2
Neutral evolution of cellular phenotypes,"['JG Wideman', 'A Novick', 'SA Muñoz-Gómez']",2019.0,2
Parallel likelihood calculation for phylogenetic comparative models: The SPLITT C++ library,"['V Mitov', 'T Stadler']",2019.0,2
Rates of evolution: a quantitative synthesis,['PD Gingerich'],2019.0,2
Revisiting a key innovation in evolutionary biology: Felsenstein's “phylogenies and the comparative method”,"['RB Huey', 'T Garland Jr', 'M Turelli']",2019.0,2
Selection and drift determine phenotypic stasis despite genetic divergence,"['F Mallard', 'L Noble', 'T Guzella', 'B Afonso', 'CF Baer']",2019.0,2
Understanding maladaptation by uniting ecological and evolutionary perspectives,"['SP Brady', 'DI Bolnick', 'RDH Barrett']",2019.0,2
A general model for estimating macroevolutionary landscapes,"['FC Boucher', 'V Démery', 'E Conti', 'LJ Harmon']",2018.0,2
A population genetic interpretation of GWAS findings for human quantitative traits,"['YB Simons', 'K Bullaughey', 'RR Hudson', 'G Sella']",2018.0,2
Evolution of genetic variance during adaptive radiation,"['GM Walter', 'JD Aguirre', 'MW Blows']",2018.0,2
Neutral theory and phenotypic evolution,['J Zhang'],2018.0,2
Phylogenetic divergence of cell biological features,['M Lynch'],2018.0,2
Rethinking phylogenetic comparative methods,"['JC Uyeda', 'R Zenil-Ferguson', 'MW Pennell']",2018.0,2
The Evolution of Gene Regulatory Networks,['JS Schiffman'],2018.0,2
"Where does diversity come from? Linking geographical patterns of morphological, genetic, and environmental variation in wall lizards","['A Kaliontzopoulou', 'C Pinho']",2018.0,2
How does epistasis influence the response to selection?,['NH Barton'],2017.0,2
Mutation predicts 40 million years of fly wing evolution,"['D Houle', 'GH Bolstad', 'K van der Linde', 'TF Hansen']",2017.0,2
On the standardization of fitness and traits in comparative studies of phenotypic selection,"['SP De Lisle', 'EI Svensson']",2017.0,2
Pattern and process in the comparative study of convergent evolution,"['DL Mahler', 'MG Weber', 'CE Wagner']",2017.0,2
Pulsed evolution shaped modern vertebrate body sizes,"['MJ Landis', 'JG Schraiber']",2017.0,2
Stochastic evolutionary demography under a fluctuating optimum phenotype,"['LM Chevin', 'O Cotto', 'J Ashander']",2017.0,2
System drift and speciation,"['JS Schiffman', 'PL Ralph']",2017.0,2
Testing the neutral hypothesis of phenotypic evolution,"['WC Ho', 'Y Ohya', 'J Zhang']",2017.0,2
A comparison of ancestral state reconstruction methods for quantitative characters,"['M Royer-Carenzi', 'G Didier']",2016.0,2
Bridging inter-and intraspecific trait evolution with a hierarchical Bayesian approach,"['A Kostikova', 'D Silvestro', 'PB Pearman']",2016.0,2
Can the fisher‐lande process account for birds of paradise and other sexual radiations?,"['SJ Arnold', 'LD Houck']",2016.0,2
Eco-evolutionary dynamics,['AP Hendry'],2016.0,2
Estimating the effect of competition on trait evolution using maximum likelihood inference,"['J Drury', 'J Clavel', 'M Manceau', 'H Morlon']",2016.0,2
Genetic correlations and sex‐specific adaptation in changing environments,"['T Connallon', 'MD Hall']",2016.0,2
High evolutionary constraints limited adaptive responses to past climate changes in toad skulls,"['MN Simon', 'FA Machado']",2016.0,2
Hormones as mediators of phenotypic and genetic integration: an evolutionary genetics approach,"['RM Cox', 'JW McGlothlin', 'F Bonier']",2016.0,2
Inferring bounded evolution in phenotypic characters from phylogenetic comparative data,"['FC Boucher', 'V Démery']",2016.0,2
"Modularity: genes, development, and evolution","['D Melo', 'A Porto', 'JM Cheverud']",2016.0,2
"Random genetic drift, natural selection, and noise in human cranial evolution",['CC Roseman'],2016.0,2
Species selection and random drift in macroevolution,['LM Chevin'],2016.0,2
Spontaneous mutations and the origin and maintenance of quantitative genetic variation,"['W Huang', 'RF Lyman', 'RA Lyman', 'MA Carbone']",2016.0,2
The infinitesimal model,"['NH Barton', 'AM Etheridge', 'A Véber']",2016.0,2
The total opportunity for sexual selection and the integration of pre‐and post‐mating episodes of sexual selection in a complex world,"['JP Evans', 'F Garcia‐Gonzalez']",2016.0,2
A method for analysis of phenotypic change for phenotypes described by high-dimensional data,"['ML Collyer', 'DJ Sekora', 'DC Adams']",2015.0,2
Ecomorphological variation in male and female wall lizards and the macroevolution of sexual dimorphism in relation to habitat use,"['A Kaliontzopoulou', 'MA Carretero']",2015.0,2
"Estimating the variation, autocorrelation, and environmental sensitivity of phenotypic selection","['LM Chevin', 'ME Visser', 'J Tufto']",2015.0,2
EvolQG-An R package for evolutionary quantitative genetics,"['D Melo', 'G Garcia', 'A Hubbe', 'AP Assis', 'G Marroig']",2015.0,2
Evolution of environmental cues for phenotypic plasticity,"['LM Chevin', 'R Lande']",2015.0,2
"Maintenance of quantitative genetic variance under partial self-fertilization, with implications for evolution of selfing","['R Lande', 'E Porcher']",2015.0,2
Measurement errors should always be incorporated in phylogenetic comparative analysis,"['D Silvestro', 'A Kostikova', 'G Litsios']",2015.0,2
Modern phylogenetic comparative methods and their application in evolutionary biology: concepts and practice.—edited by László Zsolt Garamszegi,['MW Pennell'],2015.0,2
Mutation is a sufficient and robust predictor of genetic variation for mitotic spindle traits in C. elegans,"['R Farhadifar', 'JM Ponciano', 'EC Andersen']",2015.0,2
Phylogenetic ANOVA: the expression variance and evolution model for quantitative trait evolution,"['RV Rohlfs', 'R Nielsen']",2015.0,2
Phylogenetic niche conservatism–common pitfalls and ways forward,"['T Münkemüller', 'FC Boucher', 'W Thuiller']",2015.0,2
Predicting rates of interspecific interaction from phylogenetic trees,"['SL Nuismer', 'LJ Harmon']",2015.0,2
"Scaling, selection, and evolutionary dynamics of the mitotic spindle","['R Farhadifar', 'CF Baer', 'AC Valfort', 'EC Andersen']",2015.0,2
Sensitivity of quantitative traits to mutational effects and number of loci,"['JG Schraiber', 'MJ Landis']",2015.0,2
Simultaneous Estimation of Additive and Mutational Genetic Variance in an Outbred Population of Drosophila serrata,"['K McGuigan', 'JD Aguirre', 'MW Blows']",2015.0,2
The concept of fitness in fluctuating environments,"['BE Sæther', 'S Engen']",2015.0,2
"The geography of sex‐specific selection, local adaptation, and sexual dimorphism",['T Connallon'],2015.0,2
When to rely on maternal effects and when on phenotypic plasticity?,"['B Kuijper', 'RB Hoyle']",2015.0,2
Adaptive evolution of molecular phenotypes,"['T Held', 'A Nourmohammad']",2014.0,2
"Applications of population genetics to animal breeding, from Wright, Fisher and Lush to genomic prediction",['WG Hill'],2014.0,2
Genetic constraints predict evolutionary divergence in Dalechampia blossoms,"['GH Bolstad', 'TF Hansen', 'C Pélabon']",2014.0,2
Phenotypic Evolution: The Ongoing Synthesis: (American Society of Naturalists Address),['SJ Arnold'],2014.0,2
The microevolution of modern human cranial variation: implications for hominin and primate evolution,['N von Cramon-Taubadel'],2014.0,2
Use and misuse of comparative methods in the study of adaptation,['TF Hansen'],2014.0,2
A Quantitative Genetic Model of r- and K-Selection in a Fluctuating Population,"['S Engen', 'R Lande', 'BE Sæther']",2013.0,2
CORRELATION BETWEEN ANOLIS LIZARD DEWLAP PHENOTYPE AND ENVIRONMENTAL VARIATION INDICATES ADAPTIVE DIVERGENCE OF A SIGNAL …,"['J Ng', 'EL Landeen', 'RM Logsdon']",2013.0,2
Comparing evolutionary rates for different phenotypic traits on a phylogeny using likelihood,['DC Adams'],2013.0,2
Evolutionary inference for function-valued traits: Gaussian process regression on phylogenies,"['NS Jones', 'J Moriarty']",2013.0,2
Phenotypic evolution in a fossil gastropod species lineage: Evidence for adaptive radiation?,"['TA Neubauer', 'M Harzhauser', 'A Kroh']",2013.0,2
Phylogenetic analysis using Lévy processes: finding jumps in the evolution of continuous traits,"['MJ Landis', 'JG Schraiber', 'M Liang']",2013.0,2
"Proximate perspectives on the evolution of female aggression: good for the gander, good for the goose?",['KA Rosvall'],2013.0,2
Q ST–F ST comparisons: evolutionary and ecological insights from genomic heterogeneity,"['T Leinonen', 'RJS McCairns', ""RB O'hara""]",2013.0,2
Sexual dimorphism in flowering plants,"['SCH Barrett', 'J Hough']",2013.0,2
"Stabilizing selection, purifying selection, and mutational bias in finite populations",['B Charlesworth'],2013.0,2
The statistics of natural selection on animal populations,['BF Manly'],2013.0,2
Adaptive landscapes and macroevolutionary dynamics,['TF Hansen'],2012.0,2
Comparative studies of gene expression and the evolution of gene regulation,"['IG Romero', 'I Ruvinsky', 'Y Gilad']",2012.0,2
Interpreting the evolutionary regression: the interplay between observational and biological errors in phylogenetic comparative studies,"['TF Hansen', 'K Bartoszek']",2012.0,2
Monitoring adaptive genetic responses to environmental change,"['MM Hansen', 'I Olivieri', 'DM Waller', 'EE Nielsen']",2012.0,2
"Phenotypic plasticity facilitates mutational variance, genetic variance, and evolvability along the major axis of environmental variation","['JA Draghi', 'MC Whitlock']",2012.0,2
The B‐matrix harbors significant and sex‐specific constraints on the evolution of multicharacter sexual dimorphism,"['TP Gosden', 'KL Shastri', 'P Innocenti']",2012.0,2
The effects of stochastic and episodic movement of the optimum on the evolution of the G‐matrix and the response of the trait mean to selection,"['AG Jones', 'R Bürger', 'SJ Arnold']",2012.0,2
A unified approach to the evolutionary consequences of genetic and nongenetic inheritance,"['T Day', 'R Bonduriansky']",2011.0,2
Convergent evolution of phenotypic integration and its alignment with morphological diversification in Caribbean Anolis ecomorphs,"['JJ Kolbe', 'LJ Revell', 'B Szekely']",2011.0,2
Evolution in stage-structured populations,"['M Barfield', 'RD Holt']",2011.0,2
Genetic differentiation across North America in the generalist moth Heliothis virescens and the specialist H. subflexa,"['AT Groot', 'A Classen', 'O Inglis', 'CA Blanco']",2011.0,2
Genotype-phenotype maps maximizing evolvability: Modularity revisited,"['M Pavlicev', 'TF Hansen']",2011.0,2
Measurement and meaning in biology,"['D Houle', 'C Pélabon', 'GP Wagner']",2011.0,2
Oligomorphic dynamics for analyzing the quantitative genetics of adaptive speciation,"['A Sasaki', 'U Dieckmann']",2011.0,2
Rapid independent trait evolution despite a strong pleiotropic genetic correlation,"['JK Conner', 'K Karoly', 'C Stewart']",2011.0,2
The quantitative genetics of incipient speciation: heritability and genetic correlations of skeletal traits in populations of diverging Favia fragum ecomorphs,"['DB Carlon', 'AF Budd', 'C Lippé']",2011.0,2
A structured and dynamic framework to advance traits‐based theory and prediction in ecology,"['CT Webb', 'JA Hoeting', 'GM Ames', 'MI Pyne']",2010.0,2
Change and maintenance of variation in quantitative traits in the context of the Price equation,"['XS Zhang', 'WG Hill']",2010.0,2
Discovering exceptional diversifications at continental scales: the case of the endemic families of Neotropical suboscine passerines,['S Claramunt'],2010.0,2
Early bursts of body size and shape evolution are rare in comparative data,"['LJ Harmon', 'JB Losos']",2010.0,2
"Evolutionary mechanisms affecting the multivariate divergence in some Myotis species (Chiroptera, Vespertilionidae)","['I Dzeverin', 'M Ghazali']",2010.0,2
Making sense of evolution,"['M Pigliucci', 'J Kaplan']",2010.0,2
Models and methods for analyzing phenotypic evolution in lineages and clades,"['G Hunt', 'MT Carrano']",2010.0,2
Nonadaptive processes in primate and human evolution,['EE Harris'],2010.0,2
"Quantifying evolutionary potential of marine fish larvae: heritability, selection, and evolutionary constraints","['DW Johnson', 'MR Christie']",2010.0,2
Regeneration of the variance of metric traits by spontaneous mutation in a Drosophila population,"['C Amador', 'A García-Dorado', 'D Bersabé']",2010.0,2
Sexual dimorphism and population divergence in the Lake Tanganyika cichlid fish genus Tropheus,"['J Herler', 'M Kerschbaumer', 'P Mitteroecker', 'L Postl']",2010.0,2
Standing variation and new mutations both contribute to a fast response to selection for flowering time in maize inbreds,"['E Durand', 'MI Tenaillon', 'C Ridel']",2010.0,2
Testing evolutionary and dispersion scenarios for the settlement of the New World,"['M Hubbe', 'WA Neves', 'K Harvati']",2010.0,2
The contribution of selection and genetic constraints to phenotypic divergence,"['SF Chenoweth', 'HD Rundle']",2010.0,2
The danger of applying the breeder's equation in observational studies of natural populations,"['MB Morrissey', 'LEB Kruuk']",2010.0,2
The genetic basis of sexually selected variation,"['SF Chenoweth', 'K McGuigan']",2010.0,2
"The population genetics of mutations: good, bad and indifferent","['L Loewe', 'WG Hill']",2010.0,2
A framework for evolutionary systems biology,['L Loewe'],2009.0,2
Adaptation to an extraordinary environment by evolution of phenotypic plasticity and genetic assimilation,['R Lande'],2009.0,2
Analysis and implications of mutational variation,"['PD Keightley', 'DL Halligan']",2009.0,2
Characterizing the evolution of genetic variance using genetic covariance tensors,"['E Hine', 'SF Chenoweth']",2009.0,2
Demographic and genetic constraints on evolution,"['R Gomulkiewicz', 'D Houle']",2009.0,2
Effects of epistasis and the evolution of genetic architecture: exact results for a 2-locus model,"['JM Alvarez-Castro', 'M Kopp', 'J Hermisson']",2009.0,2
Evolution of genetic integration between dispersal and colonization ability in a bird,"['RA Duckworth', 'LEB Kruuk']",2009.0,2
Patterns of quantitative genetic variation in multiple dimensions,['M Kirkpatrick'],2009.0,2
Phylogenetic analysis of the evolutionary correlation using likelihood,"['LJ Revell', 'DC Collar']",2009.0,2
Rates of evolution,['PD Gingerich'],2009.0,2
Species' range: adaptation in space and time,"['J Polechová', 'N Barton', 'G Marion']",2009.0,2
Spherical cows grazing in flatland: constraints to selection and adaptation,"['M Blows', 'B Walsh']",2009.0,2
Statistical mechanics and the evolution of polygenic quantitative traits,"['NH Barton', 'HP de Vladar']",2009.0,2
The mermaid's tale: four billion years of cooperation in the making of living things,"['KM Weiss', 'AV Buchanan']",2009.0,2
Which cranial regions reflect molecular distances reliably in humans? Evidence from three‐dimensional morphology,['HF Smith'],2009.0,2
Adaptive dynamics for physiologically structured population models,"['M Durinx', 'JAJH Metz', 'G Meszéna']",2008.0,2
Adaptive zones and the pinniped ankle: a three-dimensional quantitative analysis of carnivoran tarsal evolution,['PD Polly'],2008.0,2
Analysis of evolutionary processes,"['F Dercole', 'S Rinaldi']",2008.0,2
"Bridging the gap between the genotype and the phenotype: linking genetic variation, selection and adaptation in fishes","['KA Naish', 'JJ Hard']",2008.0,2
"Detection of “punctuated equilibrium” by Bayesian estimation of speciation and extinction rates, ancestral character states, and rates of anagenetic and cladogenetic …",['F Bokma'],2008.0,2
Developmental dynamics and G-matrices: Can morphometric spaces be used to model phenotypic evolution?,['PD Polly'],2008.0,2
Evolution of primate gene expression: drift and corrective sweeps?,"['R Chaix', 'M Somel', 'DP Kreil', 'P Khaitovich', 'GA Lunter']",2008.0,2
"Evolutionary patterns within fossil lineages: model-based assessment of modes, rates, punctuations and process",['G Hunt'],2008.0,2
Extant mammal body masses suggest punctuated equilibrium,"['TM Mattila', 'F Bokma']",2008.0,2
Hormone-mediated suites as adaptations and evolutionary constraints,"['JW McGlothlin', 'ED Ketterson']",2008.0,2
"Incipient allochronic speciation due to non-selective assortative mating by flowering time, mutation and genetic drift","['C Devaux', 'R Lande']",2008.0,2
Increase in Quantitative Variation After Exposure to Environmental Stresses and/or Introduction of a Major Mutation: G × E Interaction and Epistasis or Canalization?,['XS Zhang'],2008.0,2
Measuring and comparing evolvability and constraint in multivariate characters,"['TF Hansen', 'D Houle']",2008.0,2
Multivariate Qst–Fst Comparisons: A Neutrality Test for the Evolution of the G Matrix in Structured Populations,"['G Martin', 'E Chapuis', 'J Goudet']",2008.0,2
Selective sweep at a quantitative trait locus in the presence of background genetic variation,"['LM Chevin', 'F Hospital']",2008.0,2
Understanding the population genetic structure of coastal species (Cakile maritima): seed dispersal and the role of sea currents in determining population structure,"['M Gandour', 'K Hessini', 'C Abdelly']",2008.0,2
